,Time(s),RNA1,Protein1,RNA2,Protein2,Vol
0,0.0,0.0,0.0,0.0,0.0,1.47213458604e+165
1,64.8648648649,6.42839894914,20.9115131047,12.8567978983,41.8230262095,1.55389942755e+165
2,129.72972973,12.7420075742,83.1475412317,25.4840151484,166.295082463,1.64020582778e+165
3,194.594594595,18.9428763786,185.969894682,37.8857527572,371.939789364,1.73130577273e+165
4,259.459459459,25.0330190405,328.653663698,50.0660380811,657.307327396,1.82746537312e+165
5,324.324324324,31.0144133344,510.486852729,62.0288266688,1020.97370546,1.92896599497e+165
6,389.189189189,36.889001084,730.77042843,73.7780021679,1461.54085686,2.03610441033e+165
7,454.054054054,42.6586899481,988.817604457,85.3173798963,1977.63520891,2.14919436905e+165
8,518.918918919,48.3253505707,1283.95492115,96.6507011414,2567.90984229,2.26856551219e+165
9,583.783783784,53.8908246547,1615.51944173,107.781649309,3231.03888346,2.39456812639e+165
10,648.648648649,59.3569161787,1982.86179055,118.713832357,3965.72358111,2.52756828722e+165
11,713.513513514,64.725401728,2385.34229594,129.450803456,4770.68459188,2.66795687645e+165
12,778.378378378,69.9980226674,2822.33405077,139.996045335,5644.66810154,2.81614175764e+165
13,843.243243243,75.1764922676,3293.22027337,150.352984535,6586.44054673,2.97255821353e+165
14,908.108108108,80.2624910975,3797.39593125,160.524982195,7594.79186251,3.13766142258e+165
15,972.972972973,85.2576711828,4334.26631606,170.515342366,8668.53263213,3.31193561417e+165
16,1037.83783784,90.1636549842,4903.24733218,180.327309968,9806.49466436,3.49589217294e+165
17,1102.7027027,94.9820373993,5503.76480968,189.964074799,11007.5296194,3.69007497765e+165
18,1167.56756757,99.714380669,6135.25635463,199.428761338,12270.5127093,3.89504610102e+165
19,1232.43243243,104.362217544,6797.1701941,208.724435088,13594.3403882,4.11139481054e+165
20,1297.2972973,108.927069428,7488.9585849,217.854138857,14977.9171698,4.33979073933e+165
21,1362.16216216,113.41041007,8210.09100923,226.820820139,16420.1820185,4.5808777663e+165
22,1427.02702703,117.813689566,8960.04545147,235.627379132,17920.0909029,4.83534426122e+165
23,1491.89189189,122.138339996,9738.30648077,244.276679992,19476.6129615,5.10394222843e+165
24,1556.75675676,126.385773664,10544.3658744,252.771547327,21088.7317488,5.38748189261e+165
25,1621.62162162,130.557360648,11377.7305347,261.114721295,22755.4610695,5.68676114413e+165
26,1686.48648649,134.654451287,12237.9145678,269.308902575,24475.8291356,6.00263643925e+165
27,1751.35135135,138.678383446,13124.4356318,277.356766891,26248.8712635,6.33607265839e+165
28,1816.21621622,142.630459331,14036.8250378,285.260918661,28073.6500755,6.68802298128e+165
29,1881.08108108,146.511961027,14974.6210184,293.023922055,29949.2420369,7.05950883671e+165
30,1945.94594595,150.324148726,15937.3698265,300.648297452,31874.7396531,7.45161732927e+165
31,2010.81081081,154.068261263,16924.6257086,308.136522527,33849.2514173,7.86550793438e+165
32,2075.67567568,157.745514701,17935.9505498,315.491029402,35871.9010996,8.302382383e+165
33,2140.54054054,161.357104506,18970.91384,322.714209012,37941.8276801,8.76351572029e+165
34,2205.40540541,164.904201113,20029.094408,329.808402226,40058.1888161,9.25026540652e+165
35,2270.27027027,168.387957486,21110.0771766,336.775914972,42220.1543532,9.76405220521e+165
36,2335.13513514,171.809506087,22213.4545184,343.619012173,44426.9090368,1.03063738989e+166
37,2400.0,175.169958258,23338.8264244,350.339916517,46677.6528488,1.08788157802e+166
38,2464.86486486,178.470403534,24485.8005925,356.940807069,48971.601185,1.14830646158e+166
39,2529.72972973,181.71191455,25653.9910954,363.423829101,51307.9821908,1.21208749344e+166
40,2594.59459459,184.895543768,26843.0192205,369.791087536,53686.0384411,1.27941022102e+166
41,2659.45945946,188.022324655,28052.5127925,376.04464931,56105.0255849,1.35047317429e+166
42,2724.32432432,191.093272162,29282.1064618,382.186544324,58564.2129237,1.42548385287e+166
43,2789.18918919,194.109383033,30531.4414798,388.218766066,61062.8829597,1.50466020948e+166
44,2854.05405405,197.071636215,31800.1654261,394.14327243,63600.3308521,1.58823315243e+166
45,2918.91891892,199.98099362,33087.9320008,399.96198724,66175.8640015,1.67644984587e+166
46,2983.78378378,202.8383995,34394.4012042,405.676798999,68788.8024084,1.76956606637e+166
47,3048.64864865,205.64478153,35719.2389706,411.289563061,71438.4779412,1.86785288785e+166
48,3113.51351351,208.401050558,37062.1174515,416.802101116,74124.2349029,1.9715993633e+166
49,3178.37837838,211.108101388,38422.7145156,422.216202776,76845.4290311,2.08110929353e+166
50,3243.24324324,213.766813231,39800.7135389,427.533626462,79601.4270777,2.19670098089e+166
51,3308.10810811,216.378049561,41195.8036235,432.756099122,82391.6072471,2.3187113045e+166
52,3372.97297297,218.942657158,42607.6800151,437.885314315,85215.3600302,2.44750111955e+166
53,3437.83783784,221.461469375,44036.0426689,442.92293875,88072.0853378,2.58344410841e+166
54,3502.7027027,223.935304323,45480.5970959,447.870608646,90961.1941917,2.72693615721e+166
55,3567.56756757,226.364964901,46941.0542426,452.729929801,93882.1084851,2.87839846349e+166
56,3632.43243243,228.751239612,48417.130243,457.502479225,96834.2604859,3.038275507e+166
57,3697.2972973,231.094903626,49908.5461046,462.189807252,99817.0922091,3.20703170182e+166
58,3762.16216216,233.396718021,51415.0278916,466.793436043,102830.055783,3.38515823556e+166
59,3827.02702703,235.65742952,52936.3066952,471.31485904,105872.61339,3.57318269982e+166
60,3891.89189189,237.877772375,54472.1182476,475.755544751,108944.236495,3.77165042469e+166
61,3956.75675676,240.0584675,56022.2030288,480.116934999,112044.406058,3.9811394301e+166
62,4021.62162162,242.200222776,57586.3062012,484.400445553,115172.612402,4.20226358091e+166
63,4086.48648649,244.303733346,59164.1775052,488.607466692,118328.35501,4.43567315528e+166
64,4151.35135135,246.369682286,60755.5710155,492.739364571,121511.142031,4.68204585062e+166
65,4216.21621622,248.398740434,62360.2452002,496.797480868,124720.4904,4.94209844958e+166
66,4281.08108108,250.391566125,63977.9631057,500.78313225,127955.926211,5.21660074227e+166
67,4345.94594595,252.348806548,65608.4917065,504.697613095,131216.983413,5.5063499975e+166
68,4410.81081081,254.271097274,67251.6021781,508.542194547,134503.204356,5.81218992667e+166
69,4475.67567568,256.159062359,68907.069856,512.318124717,137814.139712,6.13501529397e+166
70,4540.54054054,258.013314424,70574.6742145,516.026628848,141149.348429,6.47577714549e+166
71,4605.40540541,259.834455768,72254.1984168,519.668911535,144508.396834,6.83546457688e+166
72,4670.27027027,261.623077818,73945.4295556,523.246155636,147890.859111,7.21512429033e+166
73,4735.13513514,263.379760865,75648.158716,526.759521731,151296.317432,7.61587749061e+166
74,4800.0,265.105075366,77362.1805442,530.210150732,154724.361088,8.038891615e+166
75,4864.86486486,266.799581624,79087.2933439,533.599163248,158174.586688,8.48539749942e+166
76,4929.72972973,268.463829799,80823.2990642,536.927659597,161646.598128,8.95669951711e+166
77,4994.59459459,270.098359874,82570.0032943,540.196719747,165140.006589,9.4541883882e+166
78,5059.45945946,271.703702749,84327.2149254,543.407405497,168654.429851,9.97930770717e+166
79,5124.32432432,273.280379718,86094.7462941,546.560759436,172189.492588,1.05335859198e+167
80,5189.18918919,274.828902433,87872.4132046,549.657804866,175744.826409,1.11186563494e+167
81,5254.05405405,276.349773639,89660.0346664,552.699547278,179320.069333,1.17362280297e+167
82,5318.91891892,277.843487234,91457.4328723,555.686974469,182914.865745,1.23880967233e+167
83,5383.78378378,279.310528208,93264.4332222,558.621056416,186528.866444,1.30761641768e+167
84,5448.64864865,280.751372547,95080.8643697,561.502745094,190161.728739,1.38024636211e+167
85,5513.51351351,282.166488232,96906.5578324,564.332976465,193813.115665,1.45691021757e+167
86,5578.37837838,283.556334791,98741.3481761,567.112669581,197482.696352,1.53783117621e+167
87,5643.24324324,284.921363294,100585.07302,569.842726589,201170.146041,1.62324720777e+167
88,5708.10810811,286.262016865,102437.572846,572.524033729,204875.145692,1.71340843941e+167
89,5772.97297297,287.578730916,104298.690905,575.157461832,208597.38181,1.80857689162e+167
