,Time(s),RNA1,Protein1,RNA2,Protein2,Vol
0,0.0,0.0,0.0,0.0,0.0,1.82701460461e+118
1,64.8648648649,6.42839917991,20.9114306322,2.04598754902,0.450718115762,1.92849003549e+118
2,129.72972973,12.7420081054,83.1473522877,3.86239458918,1.73642327281,2.03560152518e+118
3,194.594594595,18.9428747037,185.970493578,5.45331697495,3.75881306506,2.1486619026e+118
4,259.459459459,25.0330161627,328.65465413,6.82278908206,6.42105978147,2.26800203633e+118
5,324.324324324,31.0144094153,510.488223436,7.97476477655,9.62828213705,2.39397066595e+118
6,389.189189189,36.8889940888,730.772874585,8.91312331263,13.2873703945,2.52693570892e+118
7,454.054054054,42.6586775442,988.821922923,9.64167941276,17.3067665483,2.667285783e+118
8,518.918918919,48.3253338182,1283.9607432,10.1641811498,21.5965203744,2.81543115221e+118
9,583.783783784,53.8908032697,1615.5268418,10.484309242,26.0682992553,2.97180483822e+118
10,648.648648649,59.3568926792,1982.86979073,10.6056772503,30.6353794996,3.13686394438e+118
11,713.513513514,64.7253783689,2385.35014474,10.5318378188,35.2125014639,3.31109238724e+118
12,778.378378378,69.9980012093,2822.34113148,10.2662726888,39.7160958666,3.49499828717e+118
13,843.243243243,75.1764757414,3293.2255615,9.81241094218,44.0638704434,3.68912282764e+118
14,908.108108108,80.2624816856,3797.39870402,9.1736120198,48.175194635,3.89403200761e+118
15,972.972972973,85.2576662367,4334.26751814,8.3531703113,51.9709969082,4.11032080776e+118
16,1037.83783784,90.1636573799,4903.24615974,7.35434178685,55.3731640486,4.33863003777e+118
17,1102.7027027,94.9820402771,5503.76393668,6.18029677041,58.3056044964,4.5796135944e+118
18,1167.56756757,99.7143848173,6135.25555037,4.83417504006,60.6929447017,4.83398969508e+118
19,1232.43243243,104.362223822,6797.16914944,3.31904223906,62.4616045921,5.10249176553e+118
20,1297.2972973,108.927066211,7488.96149641,1.63791620651,63.5391524805,5.38590481261e+118
21,1362.16216216,113.410396441,8210.09819164,-0.206234145064,63.8543349996,5.68506457734e+118
22,1427.02702703,117.813667177,8960.05621914,-2.21050348461,63.3374165898,6.00083247782e+118
23,1491.89189189,122.138311665,9738.31965552,-4.37202531957,61.9196075309,6.33414899501e+118
24,1556.75675676,126.385731191,10544.3840262,-6.68799707678,59.5336444595,6.68597270004e+118
25,1621.62162162,130.55730621,11377.7523803,-9.15565784998,56.1132672607,7.05734028682e+118
26,1686.48648649,134.654391255,12237.9371066,-11.7722985716,51.5934611193,7.44933765794e+118
27,1751.35135135,138.678314868,13124.4599503,-14.5352621554,45.9104587316,7.86310051749e+118
28,1816.21621622,142.630386211,14036.8496029,-17.4419302799,39.0014189625,8.29985643922e+118
29,1881.08108108,146.511885203,14974.6453172,-20.4897431067,30.8049088761,8.76085993263e+118
30,1945.94594595,150.324074845,15937.392403,-23.6761746335,21.2603031074,9.24748034136e+118
31,2010.81081081,154.068191101,16924.6459143,-26.9987529335,10.308275522,9.76112616192e+118
32,2075.67567568,157.745448054,17935.9687544,-30.4550498389,-2.1094534155,1.03032864325e+119
33,2140.54054054,161.357040504,18970.9307001,-34.0426757483,-16.0502468258,1.08755543204e+119
34,2205.40540541,164.904141381,20029.1095488,-37.7592848048,-31.5703983918,1.14796045661e+119
35,2270.27027027,168.387902681,21110.0906076,-41.6025730162,-48.7252004823,1.21172036228e+119
36,2335.13513514,171.809455673,22213.4666467,-45.5702778426,-67.5689504095,1.27902168308e+119
37,2400.0,175.169912385,23338.8373158,-49.6601752309,-88.1550282351,1.35006300742e+119
38,2464.86486486,178.470363276,24485.8100728,-53.8700842597,-110.535772881,1.42505116153e+119
39,2529.72972973,181.71187886,25653.9995622,-58.1978639011,-134.762565096,1.50420384758e+119
40,2594.59459459,184.895514748,26843.0257147,-62.6414029359,-160.886080771,1.58775780343e+119
41,2659.45945946,188.022300781,28052.5178347,-67.198641682,-188.955746002,1.67595125018e+119
42,2724.32432432,191.093252569,29282.1103004,-71.867548915,-219.020310349,1.76904307351e+119
43,2789.18918919,194.109369334,30531.4433736,-76.6461261965,-251.127738918,1.86730926806e+119
44,2854.05405405,197.071625984,31800.1661033,-81.5324237086,-285.324825165,1.97102914658e+119
45,2918.91891892,199.980987782,33087.9309869,-86.5245109214,-321.657902782,2.0805133348e+119
46,2983.78378378,202.838398088,34394.3984125,-91.6205011212,-360.172253337,2.19607903242e+119
47,3048.64864865,205.644782636,35719.2351126,-96.8185428363,-400.912312509,2.31805960263e+119
48,3113.51351351,208.40105938,37062.1106298,-102.116800158,-443.922141284,2.44683113931e+119
49,3178.37837838,211.108119988,38422.7039586,-107.513489754,-489.244540395,2.58276111423e+119
50,3243.24324324,213.766841438,39800.699383,-113.006857664,-536.921605306,2.7262409181e+119
51,3308.10810811,216.378083142,41195.7875107,-118.595185066,-586.994588327,2.87767777596e+119
52,3372.97297297,218.942697815,42607.6613685,-124.276766532,-639.504419213,3.03753077636e+119
53,3437.83783784,221.461516325,44036.0218428,-130.049940322,-694.490979788,3.20626085806e+119
54,3502.7027027,223.935354287,45480.5753123,-135.91307521,-751.993419547,3.38435268295e+119
55,3567.56756757,226.365015639,46941.0323583,-141.864563316,-812.050327665,3.57233092208e+119
56,3632.43243243,228.751289979,48417.108727,-147.902825447,-874.699604631,3.77074697847e+119
57,3697.2972973,231.09495298,49908.5251785,-154.026310255,-939.978482432,3.9801806765e+119
58,3762.16216216,233.396765196,51415.0079135,-160.233496636,-1007.92346766,4.20124469564e+119
59,3827.02702703,235.657473821,52936.2879406,-166.522890195,-1078.57042582,4.43458591211e+119
60,3891.89189189,237.877814562,54472.1004076,-172.893019525,-1151.95467054,4.68088835748e+119
61,3956.75675676,240.05850828,56022.1858041,-179.342442899,-1228.11080321,4.94087306785e+119
62,4021.62162162,242.200262213,57586.2895247,-185.869745845,-1307.07277122,5.21530017006e+119
63,4086.48648649,244.303772195,59164.1610672,-192.47353669,-1388.87397485,5.50496999603e+119
64,4151.35135135,246.36972152,60755.5544485,-199.152448853,-1473.54721186,5.8107369183e+119
65,4216.21621622,248.398781621,62360.2279547,-205.905139461,-1561.12471077,6.13350997262e+119
66,4281.08108108,250.391610532,63977.9446916,-212.730292449,-1651.63805746,6.47422411369e+119
67,4345.94594595,252.348854637,65608.4719598,-219.626615051,-1745.11827853,6.83386923027e+119
68,4410.81081081,254.271148397,67251.5813507,-226.592838341,-1841.59582846,7.21348374064e+119
69,4475.67567568,256.159114514,68907.0486878,-233.627716918,-1941.10059743,7.61415575711e+119
70,4540.54054054,258.013369129,70574.6521701,-240.730018499,-2043.66215894,8.03711840287e+119
71,4605.40540541,259.834512182,72254.1758128,-247.898543203,-2149.30931093,8.48356781291e+119
72,4670.27027027,261.623134783,73945.4068159,-255.132108812,-2258.07042676,8.95479900412e+119
73,4735.13513514,263.379817617,75648.1361322,-262.429553954,-2369.97337938,9.45218210667e+119
74,4800.0,265.105130876,77362.1584944,-269.789738248,-2485.04553776,9.97720415447e+119
75,4864.86486486,266.799635219,79087.2720646,-277.211540372,-2603.31381361,1.05313803909e+120
76,4929.72972973,268.463881469,80823.2785483,-284.693858684,-2724.80464622,1.11163273981e+120
77,4994.59459459,270.098410081,82569.9833817,-292.235612271,-2849.54397743,1.17337571864e+120
78,5059.45945946,271.7037504,84327.1959985,-299.835742443,-2977.55721605,1.23854897123e+120
79,5124.32432432,273.280424908,86094.7283076,-307.493204237,-3108.86944093,1.30734200892e+120
80,5189.18918919,274.828945978,87872.3958555,-315.206972908,-3243.50524583,1.37995537963e+120
81,5254.05405405,276.349816094,89660.017748,-322.976043488,-3381.48875001,1.45660227337e+120
82,5318.91891892,277.843528455,91457.4164322,-330.799429576,-3522.84362718,1.5375079742e+120
83,5383.78378378,279.310568448,93264.4171696,-338.676160402,-3667.5931758,1.62290733277e+120
84,5448.64864865,280.751412318,95080.8485116,-346.605283472,-3815.7602557,1.71304863968e+120
85,5513.51351351,282.166527769,96906.5420851,-354.585863381,-3967.3673166,1.80819813742e+120
86,5578.37837838,283.556374124,98741.3325337,-362.616981481,-4122.43640605,1.90863418131e+120
87,5643.24324324,284.921402486,100585.05746,-370.697735569,-4280.98917702,2.01464808937e+120
88,5708.10810811,286.262055894,102437.557369,-378.827239563,-4443.04689552,2.12654771537e+120
89,5772.97297297,287.578769631,104298.67556,-387.0046229,-4608.63045499,2.24466583295e+120
90,5837.83783784,288.871971133,106168.258155,-395.229030707,-4777.76037239,2.36934529113e+120
91,5902.7027027,290.142080292,108046.153994,-403.4996232,-4950.45680258,2.50094852783e+120
92,5967.56756757,291.389509569,109932.214589,-411.815575457,-5126.73954372,2.63985832407e+120
93,6032.43243243,292.614663488,111826.294313,-420.17607843,-5306.62801293,2.78648832691e+120
94,6097.2972973,293.817940151,113728.249849,-428.580335913,-5490.14131912,2.9412624647e+120
95,6162.16216216,294.999730408,115637.940492,-437.027566211,-5677.29822301,3.10463133767e+120
96,6227.02702703,296.160418032,117555.228082,-445.517001773,-5868.11714573,3.27707186735e+120
97,6291.89189189,297.300379274,119479.977169,-454.047890101,-6062.61614735,3.45909541119e+120
98,6356.75675676,298.41998467,121412.054361,-462.61949012,-6260.81301358,3.65122874545e+120
99,6421.62162162,299.51959786,123351.328748,-471.231074551,-6462.72519913,3.85403097967e+120
100,6486.48648649,300.599575786,125297.671829,-479.88192951,-6668.36983718,4.06809651419e+120
101,6551.35135135,301.660268766,127250.957491,-488.571354359,-6877.76374309,4.29405734291e+120
102,6616.21621622,302.702021398,129211.061679,-497.298659907,-7090.92345743,4.53256791469e+120
103,6681.08108108,303.725171951,131177.862615,-506.063169611,-7307.86521721,4.78432188451e+120
104,6745.94594595,304.73005248,133151.24076,-514.864219364,-7528.60496105,5.05006063112e+120
105,6810.81081081,305.716989139,135131.078698,-523.701156857,-7753.15834429,5.33056440966e+120
106,6875.67567568,306.686302435,137117.261047,-532.573341076,-7981.54075136,5.6266465979e+120
107,6940.54054054,307.638307115,139109.674498,-541.480142528,-8213.76729005,5.93916782021e+120
108,7005.40540541,308.573312074,141108.207848,-550.42094342,-8449.85278739,6.26905346857e+120
109,7070.27027027,309.491620895,143112.751807,-559.395136589,-8689.8118153,6.61726558818e+120
110,7135.13513514,310.393531806,145123.199014,-568.402125577,-8933.65868877,6.98481563882e+120
111,7200.0,311.279337725,147139.444019,-577.44132455,-9181.40746784,7.37277144974e+120
112,7264.86486486,312.149325886,149161.383416,-586.512159038,-9433.07193977,7.78228888863e+120
113,7329.72972973,313.003778941,151188.915451,-595.614063739,-9688.6656718,8.21455264307e+120
114,7394.59459459,313.842974378,153221.940229,-604.746483677,-9948.20198337,8.67082107853e+120
115,7459.45945946,314.667184718,155260.359642,-613.908873808,-10211.6939555,9.15242358168e+120
116,7524.32432432,315.476677217,157304.077477,-623.100699621,-10479.1544165,9.66079151431e+120
117,7589.18918919,316.271714898,159352.999047,-632.321435068,-10750.5959915,1.01973952185e+121
118,7654.05405405,317.052555949,161407.031403,-641.570563777,-11026.0310734,1.07637964344e+121
119,7718.91891892,317.819453872,163466.083286,-650.847578742,-11305.4718304,1.13616515591e+121
120,7783.78378378,318.57265743,165530.065141,-660.151982437,-11588.9302031,1.19927303474e+121
121,7848.64864865,319.312411314,167598.888878,-669.48328548,-11876.4179366,1.26588594255e+121
122,7913.51351351,320.038955747,169672.468017,-678.841007425,-12167.9465617,1.33619765845e+121
123,7978.37837838,320.752526543,171750.717665,-688.224676643,-12463.5273975,1.41041470264e+121
124,8043.24324324,321.453355259,173833.554463,-697.633830022,-12763.1715586,1.48875566926e+121
125,8108.10810811,322.141669536,175920.896458,-707.06801228,-13066.8899719,1.57144756258e+121
126,8172.97297297,322.817692898,178012.663183,-716.526776366,-13374.6933664,1.6587308174e+121
127,8237.83783784,323.481644698,180108.77567,-726.009683576,-13686.5922713,1.75086310356e+121
128,8302.7027027,324.133740472,182209.156327,-735.51630284,-14002.597032,1.84811411866e+121
129,8367.56756757,324.774192016,184313.728906,-745.046210562,-14322.717815,1.95076608452e+121
130,8432.43243243,325.40320733,186422.418528,-754.598990745,-14646.9646041,2.05911731913e+121
131,8497.2972973,326.020990428,188535.151748,-764.174235359,-14975.3471921,2.17348954601e+121
132,8562.16216216,326.627741955,190651.856334,-773.771543117,-15307.8752098,2.29421510646e+121
133,8627.02702703,327.223658962,192772.461346,-783.390519913,-15644.5581159,2.42164502072e+121
134,8691.89189189,327.80893498,194896.897115,-793.030778688,-15985.4051997,2.55614993132e+121
135,8756.75675676,328.383759793,197025.095317,-802.691939873,-16330.4255708,2.69813030517e+121
136,8821.62162162,328.948320159,199156.98872,-812.373629952,-16679.6281938,2.84799667268e+121
137,8886.48648649,329.50279941,201292.511325,-822.075482262,-17033.0218683,3.00618530962e+121
138,8951.35135135,330.047377578,203431.59832,-831.797136736,-17390.6152362,3.17315788126e+121
139,9016.21621622,330.582231297,205574.186116,-841.538240109,-17752.4167757,3.34940977281e+121
140,9081.08108108,331.107534324,207720.212162,-851.298444865,-18118.4348272,3.53545090752e+121
141,9145.94594595,331.623457245,209869.615045,-861.077409834,-18488.6775789,3.73182262125e+121
142,9210.81081081,332.130167535,212022.334476,-870.874800065,-18863.1530694,3.93910031842e+121
143,9275.67567568,332.627829592,214178.311271,-880.690286763,-19241.86919,4.1578962124e+121
144,9340.54054054,333.116605078,216337.487231,-890.5235466,-19624.8337004,4.38884389476e+121
