,Time(s),RNA1,Protein1,RNA2,Protein2
0,0.0,0.0,0.0,0.0,0.0
1,64.8648648649,0.648648648649,1.05186267654,0.0324324324324,0.0175310446089
2,129.72972973,1.2972972973,4.20745070275,0.0648648648649,0.0701241783791
3,194.594594595,1.94594594595,9.46676407687,0.0972972972973,0.157779401281
4,259.459459459,2.59459459459,16.8298027961,0.12972972973,0.280496713269
5,324.324324324,3.24324324324,26.2965668606,0.162162162162,0.438276114343
6,389.189189189,3.89189189189,37.8670562702,0.194594594595,0.631117604503
7,454.054054054,4.54054054054,51.5412710393,0.227027027027,0.859021183989
8,518.918918919,5.18918918919,67.3192111583,0.259459459459,1.12198685264
9,583.783783784,5.83783783784,85.2008766237,0.291891891892,1.4200146104
10,648.648648649,6.48648648649,105.186267435,0.324324324324,1.75310445726
11,713.513513514,7.13513513514,127.275383594,0.356756756757,2.12125639323
12,778.378378378,7.78378378378,151.468225098,0.389189189189,2.5244704183
13,843.243243243,8.43243243243,177.764791949,0.421621621622,2.96274653248
14,908.108108108,9.08108108108,206.165084146,0.454054054054,3.43608473577
15,972.972972973,9.72972972973,236.66910169,0.486486486486,3.94448502816
16,1037.83783784,10.3783783784,269.27684458,0.518918918919,4.48794740966
17,1102.7027027,11.027027027,303.988312816,0.551351351351,5.06647188026
18,1167.56756757,11.6756756757,340.803506398,0.583783783784,5.68005843997
19,1232.43243243,12.3243243243,379.722425328,0.616216216216,6.32870708879
20,1297.2972973,12.972972973,420.745069603,0.648648648649,7.01241782671
21,1362.16216216,13.6216216216,463.871439225,0.681081081081,7.73119065374
22,1427.02702703,14.2702702703,509.101534193,0.713513513514,8.48502556988
23,1491.89189189,14.9189189189,556.435354507,0.745945945946,9.27392257512
24,1556.75675676,15.5675675676,605.872900168,0.778378378378,10.0978816695
25,1621.62162162,16.2162162162,657.414171175,0.810810810811,10.9569028529
26,1686.48648649,16.8648648649,711.059167529,0.843243243243,11.8509861255
27,1751.35135135,17.5135135135,766.807889229,0.875675675676,12.7801314871
28,1816.21621622,18.1621621622,824.660336275,0.908108108108,13.7443389379
29,1881.08108108,18.8108108108,884.616508668,0.940540540541,14.7436084778
30,1945.94594595,19.4594594595,946.676406407,0.972972972973,15.7779401068
31,2010.81081081,20.1081081081,1010.84002949,1.00540540541,16.8473338249
32,2075.67567568,20.7567567568,1077.10737792,1.03783783784,17.9517896321
33,2140.54054054,21.4054054054,1145.4784517,1.07027027027,19.0913075284
34,2205.40540541,22.0540540541,1215.95325083,1.1027027027,20.2658875138
35,2270.27027027,22.7027027027,1288.5317753,1.13513513514,21.4755295883
36,2335.13513514,23.3513513514,1363.21402515,1.16756756757,22.7202337524
37,2400.0,24.0,1440.00000035,1.2,24.0000000059
38,2464.86486486,24.6486486486,1518.88970091,1.23243243243,25.3148283484
39,2529.72972973,25.2972972973,1599.88312681,1.26486486486,26.6647187801
40,2594.59459459,25.9459459459,1682.98027805,1.2972972973,28.0496713009
41,2659.45945946,26.5945945946,1768.18115465,1.32972972973,29.4696859108
42,2724.32432432,27.2432432432,1855.48575659,1.36216216216,30.9247626098
43,2789.18918919,27.8918918919,1944.89408388,1.39459459459,32.4149013979
44,2854.05405405,28.5405405405,2036.40613651,1.42702702703,33.9401022751
45,2918.91891892,29.1891891892,2130.02191449,1.45945945946,35.5003652415
46,2983.78378378,29.8378378378,2225.74141782,1.49189189189,37.095690297
47,3048.64864865,30.4864864865,2323.56464649,1.52432432432,38.7260774415
48,3113.51351351,31.1351351351,2423.49160051,1.55675675676,40.3915266752
49,3178.37837838,31.7837837838,2525.52227988,1.58918918919,42.092037998
50,3243.24324324,32.4324324324,2629.65668459,1.62162162162,43.8276114099
51,3308.10810811,33.0810810811,2735.89481466,1.65405405405,45.5982469109
52,3372.97297297,33.7297297297,2844.23667006,1.68648648649,47.4039445011
53,3437.83783784,34.3783783784,2954.68225082,1.71891891892,49.2447041803
54,3502.7027027,35.027027027,3067.23155692,1.75135135135,51.1205259487
55,3567.56756757,35.6756756757,3181.88458837,1.78378378378,53.0314098062
56,3632.43243243,36.3243243243,3298.64134516,1.81621621622,54.9773557527
57,3697.2972973,36.972972973,3417.50182731,1.84864864865,56.9583637884
58,3762.16216216,37.6216216216,3538.46603479,1.88108108108,58.9744339132
59,3827.02702703,38.2702702703,3661.53396763,1.91351351351,61.0255661272
60,3891.89189189,38.9189189189,3786.70562581,1.94594594595,63.1117604302
61,3956.75675676,39.5675675676,3913.98100934,1.97837837838,65.2330168224
62,4021.62162162,40.2162162162,4043.36011822,2.01081081081,67.3893353036
63,4086.48648649,40.8648648649,4174.84295244,2.04324324324,69.580715874
64,4151.35135135,41.5135135135,4308.42951201,2.07567567568,71.8071585335
65,4216.21621622,42.1621621622,4444.11979693,2.10810810811,74.0686632821
66,4281.08108108,42.8108108108,4581.91380719,2.14054054054,76.3652301198
67,4345.94594595,43.4594594595,4721.8115428,2.17297297297,78.6968590466
68,4410.81081081,44.1081081081,4863.81300375,2.20540540541,81.0635500626
69,4475.67567568,44.7567567568,5007.91819006,2.23783783784,83.4653031676
70,4540.54054054,45.4054054054,5154.12710171,2.27027027027,85.9021183618
71,4605.40540541,46.0540540541,5302.4397387,2.3027027027,88.3739956451
72,4670.27027027,46.7027027027,5452.85610105,2.33513513514,90.8809350174
73,4735.13513514,47.3513513514,5605.37618874,2.36756756757,93.422936479
74,4800.0,48.0,5760.00000177,2.4,96.0000000296
75,4864.86486486,48.6486486486,5916.72754016,2.43243243243,98.6121256693
76,4929.72972973,49.2972972973,6075.55880389,2.46486486486,101.259313398
77,4994.59459459,49.9459459459,6236.49379297,2.4972972973,103.941563216
78,5059.45945946,50.5945945946,6399.53250739,2.52972972973,106.658875123
79,5124.32432432,51.2432432432,6564.67494716,2.56216216216,109.411249119
80,5189.18918919,51.8918918919,6731.92111228,2.59459459459,112.198685205
81,5254.05405405,52.5405405405,6901.27100274,2.62702702703,115.021183379
82,5318.91891892,53.1891891892,7072.72461855,2.65945945946,117.878743643
83,5383.78378378,53.8378378378,7246.28195971,2.69189189189,120.771365995
84,5448.64864865,54.4864864865,7421.94302622,2.72432432432,123.699050437
85,5513.51351351,55.1351351351,7599.70781807,2.75675675676,126.661796968
86,5578.37837838,55.7837837838,7779.57633527,2.78918918919,129.659605588
87,5643.24324324,56.4324324324,7961.54857781,2.82162162162,132.692476297
88,5708.10810811,57.0810810811,8145.6245457,2.85405405405,135.760409095
89,5772.97297297,57.7297297297,8331.80423894,2.88648648649,138.863403982
90,5837.83783784,58.3783783784,8520.08765753,2.91891891892,142.001460959
91,5902.7027027,59.027027027,8710.47480146,2.95135135135,145.174580024
92,5967.56756757,59.6756756757,8902.96567074,2.98378378378,148.382761179
93,6032.43243243,60.3243243243,9097.56026536,3.01621621622,151.626004423
94,6097.2972973,60.972972973,9294.25858533,3.04864864865,154.904309756
95,6162.16216216,61.6216216216,9493.06063065,3.08108108108,158.217677178
96,6227.02702703,62.2702702703,9693.96640132,3.11351351351,161.566106689
97,6291.89189189,62.9189189189,9896.97589733,3.14594594595,164.949598289
98,6356.75675676,63.5675675676,10102.0891187,3.17837837838,168.368151978
99,6421.62162162,64.2162162162,10309.3060654,3.21081081081,171.821767757
100,6486.48648649,64.8648648649,10518.6267375,3.24324324324,175.310445624
