,Time(s),RNA1,Protein1,RNA2,Protein2,Vol
0,0.0,0.0,0.0,0.0,0.0,4.17393495353e+188
1,64.8648648649,6.42839897191,20.911504807,12.8567979438,27.8820064093,4.40576228962e+188
2,129.72972973,12.7420084803,83.1472161429,25.4840169605,110.862954857,4.65046553162e+188
3,194.594594595,18.9428786882,185.969081435,37.8857573763,247.958775246,4.90875976314e+188
4,259.459459459,25.0330222069,328.652570883,50.0660444138,438.203427843,5.18140023664e+188
5,324.324324324,31.0144156145,510.486107256,62.0288312289,680.648143007,5.46918398858e+188
6,389.189189189,36.8890009595,730.770541963,73.778001919,974.360722618,5.77295260752e+188
7,454.054054054,42.6586857927,988.819159637,85.3173715855,1318.42554618,6.09359388119e+188
8,518.918918919,48.3253451846,1283.95695124,96.6506903691,1711.94260165,6.43205645225e+188
9,583.783783784,53.8908181463,1615.5218606,107.781636293,2154.02914747,6.78932459018e+188
10,648.648648649,59.3569097935,1982.86403774,118.713819587,2643.81871699,7.16643164736e+188
11,713.513513514,64.7254010124,2385.34251487,129.450802025,3180.45668649,7.56451499567e+188
12,778.378378378,69.9980285889,2822.33203916,139.996057178,3763.10938554,7.98470326382e+188
13,843.243243243,75.1765034728,3293.21663017,150.353006946,4390.9555069,8.42822124235e+188
14,908.108108108,80.2625123699,3797.38888514,160.52502474,5063.18518018,8.89640014178e+188
15,972.972972973,85.257698611,4334.25716349,170.515397222,5779.00955132,9.3905640623e+188
16,1037.83783784,90.1636872194,4903.2365934,180.327374439,6537.64879121,9.91217645296e+188
17,1102.7027027,94.9820737532,5503.75295436,189.964147506,7338.33727248,1.04627755786e+189
18,1167.56756757,99.7144164213,6135.24531038,199.428832843,8180.32708051,1.10439295299e+189
19,1232.43243243,104.362257551,6797.15823081,208.724515103,9062.87764108,1.16573857582e+189
20,1297.2972973,108.927103566,7488.9493949,217.854207133,9985.26585987,1.23049161183e+189
21,1362.16216216,113.410433465,8210.08634273,226.820866929,10946.7817903,1.29883877849e+189
