,Time(s),RNA1,Protein1,RNA2,Protein2
0,0.0,0.0,0.0,0.0,0.0
1,64.8648648649,6.48648648649,21.0372534941,0.0324324324324,0.0262965668676
2,129.72972973,12.972972973,84.1490139488,0.0648648648649,0.105186267436
3,194.594594595,19.4594594595,189.33528137,0.0972972972973,0.236669101712
4,259.459459459,25.9459459459,336.596055718,0.12972972973,0.420745069648
5,324.324324324,32.4324324324,525.931336994,0.162162162162,0.657414171242
6,389.189189189,38.9189189189,757.341125197,0.194594594595,0.946676406496
7,454.054054054,45.4054054054,1030.82542033,0.227027027027,1.28853177541
8,518.918918919,51.8918918919,1346.38422238,0.259459459459,1.68298027798
9,583.783783784,58.3783783784,1704.01753147,0.291891891892,2.13002191434
10,648.648648649,64.8648648649,2103.72534759,0.324324324324,2.62965668449
11,713.513513514,71.3513513514,2545.50767065,0.356756756757,3.18188458832
12,778.378378378,77.8378378378,3029.36450065,0.389189189189,3.78670562581
13,843.243243243,84.3243243243,3555.29583758,0.421621621622,4.44411979698
14,908.108108108,90.8108108108,4123.30168145,0.454054054054,5.15412710181
15,972.972972973,97.2972972973,4733.38203225,0.486486486486,5.91672754031
16,1037.83783784,103.783783784,5385.53688999,0.518918918919,6.73192111248
17,1102.7027027,110.27027027,6079.76625466,0.551351351351,7.59970781833
18,1167.56756757,116.756756757,6816.07012627,0.583783783784,8.52008765784
19,1232.43243243,123.243243243,7594.44850481,0.616216216216,9.49306063101
20,1297.2972973,129.72972973,8414.90139029,0.648648648649,10.5186267379
21,1362.16216216,136.216216216,9277.4287827,0.681081081081,11.5967859784
22,1427.02702703,142.702702703,10182.0306821,0.713513513514,12.7275383526
23,1491.89189189,149.189189189,11128.7070883,0.745945945946,13.9108838604
24,1556.75675676,155.675675676,12117.4580016,0.778378378378,15.1468225019
25,1621.62162162,162.162162162,13148.2834217,0.810810810811,16.4353542771
26,1686.48648649,168.648648649,14221.1833488,0.843243243243,17.776479186
27,1751.35135135,175.135135135,15336.1577828,0.875675675676,19.1701972285
28,1816.21621622,181.621621622,16493.2067238,0.908108108108,20.6165084047
29,1881.08108108,188.108108108,17692.3301717,0.940540540541,22.1154127146
30,1945.94594595,194.594594595,18933.5281265,0.972972972973,23.6669101582
31,2010.81081081,201.081081081,20216.8005883,1.00540540541,25.2710007354
32,2075.67567568,207.567567568,21542.147557,1.03783783784,26.9276844462
33,2140.54054054,214.054054054,22909.5690326,1.07027027027,28.6369612908
34,2205.40540541,220.540540541,24319.0650152,1.1027027027,30.398831269
35,2270.27027027,227.027027027,25770.6355047,1.13513513514,32.2132943809
36,2335.13513514,233.513513514,27264.2805012,1.16756756757,34.0803506264
37,2400.0,240.0,28800.0000045,1.2,36.0000000057
38,2464.86486486,246.486486486,30377.7940149,1.23243243243,37.9722425186
39,2529.72972973,252.972972973,31997.6625321,1.26486486486,39.9970781651
40,2594.59459459,259.459459459,33659.6055563,1.2972972973,42.0745069454
41,2659.45945946,265.945945946,35363.6230874,1.32972972973,44.2045288593
42,2724.32432432,272.432432432,37109.7151255,1.36216216216,46.3871439068
43,2789.18918919,278.918918919,38897.8816705,1.39459459459,48.6223520881
44,2854.05405405,285.405405405,40728.1227224,1.42702702703,50.910153403
45,2918.91891892,291.891891892,42600.4382812,1.45945945946,53.2505478516
46,2983.78378378,298.378378378,44514.828347,1.49189189189,55.6435354338
47,3048.64864865,304.864864865,46471.2929198,1.52432432432,58.0891161497
48,3113.51351351,311.351351351,48469.8319994,1.55675675676,60.5872899993
49,3178.37837838,317.837837838,50510.445586,1.58918918919,63.1380569826
50,3243.24324324,324.324324324,52593.1336796,1.62162162162,65.7414170995
51,3308.10810811,330.810810811,54717.8962801,1.65405405405,68.3973703501
52,3372.97297297,337.297297297,56884.7333875,1.68648648649,71.1059167343
53,3437.83783784,343.783783784,59093.6450018,1.71891891892,73.8670562523
54,3502.7027027,350.27027027,61344.6311231,1.75135135135,76.6807889039
55,3567.56756757,356.756756757,63637.6917513,1.78378378378,79.5471146891
56,3632.43243243,363.243243243,65972.8268865,1.81621621622,82.4660336081
57,3697.2972973,369.72972973,68350.0365286,1.84864864865,85.4375456607
58,3762.16216216,376.216216216,70769.3206776,1.88108108108,88.461650847
59,3827.02702703,382.702702703,73230.6793335,1.91351351351,91.5383491669
60,3891.89189189,389.189189189,75734.1124967,1.94594594595,94.6676406209
61,3956.75675676,395.675675676,78279.6201672,1.97837837838,97.849525209
62,4021.62162162,402.162162162,80867.2023445,2.01081081081,101.084002931
63,4086.48648649,408.648648649,83496.8590289,2.04324324324,104.371073786
64,4151.35135135,415.135135135,86168.5902201,2.07567567568,107.710737775
65,4216.21621622,421.621621622,88882.3959183,2.10810810811,111.102994898
66,4281.08108108,428.108108108,91638.2761234,2.14054054054,114.547845154
67,4345.94594595,434.594594595,94436.2308355,2.17297297297,118.045288544
68,4410.81081081,441.081081081,97276.2600545,2.20540540541,121.595325068
69,4475.67567568,447.567567568,100158.36378,2.23783783784,125.197954726
70,4540.54054054,454.054054054,103082.542013,2.27027027027,128.853177517
71,4605.40540541,460.540540541,106048.794753,2.3027027027,132.560993441
