,Time(s),RNA1,Protein1,RNA2,Protein2
0,0.0,0.0,0.0,0.0,0.0
1,64.8648648649,6.48648648649,7.01241783344,3.24324324324,5.25931337508
2,129.72972973,12.972972973,28.0496713132,6.48648648649,21.0372534849
3,194.594594595,19.4594594595,63.111760461,9.72972972973,47.3338203458
4,259.459459459,25.9459459459,112.198685251,12.972972973,84.1490139384
5,324.324324324,32.4324324324,175.310445684,16.2162162162,131.482834263
6,389.189189189,38.9189189189,252.447041759,19.4594594595,189.335281319
7,454.054054054,45.4054054054,343.608473477,22.7027027027,257.706355107
8,518.918918919,51.8918918919,448.794740837,25.9459459459,336.596055627
9,583.783783784,58.3783783784,568.005843839,29.1891891892,426.004382879
10,648.648648649,64.8648648649,701.241782484,32.4324324324,525.931336863
11,713.513513514,71.3513513514,848.502556824,35.6756756757,636.376917618
12,778.378378378,77.8378378378,1009.78816684,38.9189189189,757.34112513
13,843.243243243,84.3243243243,1185.0986125,42.1621621622,888.823959376
14,908.108108108,90.8108108108,1374.43389381,45.4054054054,1030.82542036
15,972.972972973,97.2972972973,1577.79401076,48.6486486486,1183.34550807
16,1037.83783784,103.783783784,1795.17896336,51.8918918919,1346.38422252
17,1102.7027027,110.27027027,2026.5887516,55.1351351351,1519.9415637
18,1167.56756757,116.756756757,2272.02337548,58.3783783784,1704.01753161
19,1232.43243243,123.243243243,2531.48283502,61.6216216216,1898.61212626
20,1297.2972973,129.72972973,2804.96713019,64.8648648649,2103.72534764
21,1362.16216216,136.216216216,3092.47626101,68.1081081081,2319.35719576
22,1427.02702703,142.702702703,3394.01022748,71.3513513514,2545.50767061
23,1491.89189189,149.189189189,3709.56902959,74.5945945946,2782.1767722
24,1556.75675676,155.675675676,4039.15266735,77.8378378378,3029.36450051
25,1621.62162162,162.162162162,4382.76114075,81.0810810811,3287.07085557
26,1686.48648649,168.648648649,4740.3944498,84.3243243243,3555.29583735
27,1751.35135135,175.135135135,5112.05259449,87.5675675676,3834.03944587
28,1816.21621622,181.621621622,5497.73557483,90.8108108108,4123.30168112
29,1881.08108108,188.108108108,5897.44339082,94.0540540541,4423.08254311
30,1945.94594595,194.594594595,6311.17604244,97.2972972973,4733.38203183
31,2010.81081081,201.081081081,6738.93352972,100.540540541,5054.20014729
32,2075.67567568,207.567567568,7180.71585264,103.783783784,5385.53688948
33,2140.54054054,214.054054054,7636.5230112,107.027027027,5727.3922584
34,2205.40540541,220.540540541,8106.35500541,110.27027027,6079.76625406
35,2270.27027027,227.027027027,8590.21183526,113.513513514,6442.65887645
36,2335.13513514,233.513513514,9088.09350076,116.756756757,6816.07012557
37,2400.0,240.0,9600.0000019,120.0,7200.00000143
38,2464.86486486,246.486486486,10125.9313387,123.243243243,7594.44850402
39,2529.72972973,252.972972973,10665.8875111,126.486486486,7999.41563335
40,2594.59459459,259.459459459,11219.8685192,129.72972973,8414.9013894
41,2659.45945946,265.945945946,11787.8743629,132.972972973,8840.9057722
42,2724.32432432,272.432432432,12369.9050423,136.216216216,9277.42878173
43,2789.18918919,278.918918919,12965.9605573,139.459459459,9724.47041799
44,2854.05405405,285.405405405,13576.040908,142.702702703,10182.030681
45,2918.91891892,291.891891892,14200.1460943,145.945945946,10650.1095707
46,2983.78378378,298.378378378,14838.2761162,149.189189189,11128.7070872
47,3048.64864865,304.864864865,15490.4309738,152.432432432,11617.8232304
48,3113.51351351,311.351351351,16156.6106671,155.675675676,12117.4580003
49,3178.37837838,317.837837838,16836.815196,158.918918919,12627.611397
50,3243.24324324,324.324324324,17531.0445605,162.162162162,13148.2834204
51,3308.10810811,330.810810811,18239.2987607,165.405405405,13679.4740705
52,3372.97297297,337.297297297,18961.5777965,168.648648649,14221.1833474
53,3437.83783784,343.783783784,19697.8816679,171.891891892,14773.411251
54,3502.7027027,350.27027027,20448.2103751,175.135135135,15336.1577813
55,3567.56756757,356.756756757,21212.5639178,178.378378378,15909.4229384
56,3632.43243243,363.243243243,21990.9422962,181.621621622,16493.2067222
57,3697.2972973,369.72972973,22783.3455103,184.864864865,17087.5091327
58,3762.16216216,376.216216216,23589.7735599,188.108108108,17692.33017
59,3827.02702703,382.702702703,24410.2264453,191.351351351,18307.669834
60,3891.89189189,389.189189189,25244.7041663,194.594594595,18933.5281247
61,3956.75675676,395.675675676,26093.2067229,197.837837838,19569.9050422
62,4021.62162162,402.162162162,26955.7341152,201.081081081,20216.8005864
