,Time(s),RNA1,Protein1,RNA2,Protein2,Vol
0,0.0,0.0,0.0,0.0,0.0,2.83594043185e+24
1,64.8648648649,6.42839887078,20.9115414619,32.316257201,104.934843159,2.99345343074e+24
2,129.72972973,12.742007267,83.1476496933,64.4029334528,418.742340773,3.15971545353e+24
3,194.594594595,18.9428747679,185.970472527,96.2641279142,939.946788488,3.3352126348e+24
4,259.459459459,25.0330162179,328.654648924,127.903870274,1667.09746414,3.5204566889e+24
5,324.324324324,31.0144092246,510.488276846,159.326115747,2598.77056365,3.7159888725e+24
6,389.189189189,36.8889953278,730.772408744,190.534747412,3733.56819192,3.92238123098e+24
7,454.054054054,42.6586849372,988.819301314,221.533586091,5070.11486229,4.14023936397e+24
8,518.918918919,48.3253471957,1283.95613253,252.326370067,6607.06493078,4.37019807546e+24
9,583.783783784,53.89082523,1615.51927231,282.916785595,8343.09113715,4.61293390845e+24
10,648.648648649,59.3569224563,1982.85944593,313.308439507,10276.894932,4.8691530552e+24
11,713.513513514,64.7254115256,2385.33857828,343.504877105,12407.2001652,5.13960347394e+24
12,778.378378378,69.9980390237,2822.32804482,373.509591561,14732.7495876,5.42507956827e+24
13,843.243243243,75.1765117694,3293.21341739,403.325996512,17252.314343,5.72640682003e+24
14,908.108108108,80.2625152649,3797.38769673,432.957462962,19964.6804327,6.0444772004e+24
15,972.972972973,85.257696904,4334.25781532,462.4072857,22868.6617217,6.38020638044e+24
16,1037.83783784,90.1636821912,4903.23861938,491.678715734,25963.0879025,6.73459109523e+24
17,1102.7027027,94.982061526,5503.75749262,520.774933863,29246.8137425,7.10865353478e+24
18,1167.56756757,99.714400868,6135.25070882,549.699072006,32718.7117892,7.50349552645e+24
19,1232.43243243,104.362236364,6797.16527033,578.454202457,36377.6760474,7.92026822406e+24
20,1297.2972973,108.927077623,7488.9577043,607.043344435,40222.6195713,8.36019470664e+24
21,1362.16216216,113.410409712,8210.09337061,635.469468072,44252.4730807,8.8245823737e+24
22,1427.02702703,117.813685249,8960.0493424,663.735478606,48466.1907219,9.31476921007e+24
23,1491.89189189,122.138329768,9738.31244309,691.844227104,52862.7461416,9.83216052912e+24
24,1556.75675676,126.385757222,10544.3736384,719.79854147,57441.1212715,1.03783432264e+25
25,1621.62162162,130.557342331,11377.7380501,747.601171149,62200.326355,1.09548834816e+25
26,1686.48648649,134.65443445,12237.9199372,775.254814845,67139.3899099,1.15634283504e+25
27,1751.35135135,138.678361202,13124.4414104,802.76212781,72257.356158,1.22057365639e+25
28,1816.21621622,142.630440459,14036.8282164,830.125745783,77553.2765926,1.28837811647e+25
29,1881.08108108,146.511947664,14974.6212767,857.348219653,83026.2330565,1.35994738224e+25
30,1945.94594595,150.32414116,15937.3677458,884.432066104,88675.3198588,1.43548787503e+25
31,2010.81081081,154.068259505,16924.6215322,911.379762254,94499.6448167,1.51522269914e+25
32,2075.67567568,157.745519719,17935.944189,938.193742141,100498.331036,1.5993878514e+25
33,2140.54054054,161.357114236,18970.9064267,964.876390634,106670.519938,1.68822590638e+25
34,2205.40540541,164.904215785,20029.0858069,991.430053192,113015.366646,1.78199517894e+25
35,2270.27027027,168.38797575,21110.0682279,1017.85703258,119532.042956,1.88097386365e+25
36,2335.13513514,171.809525956,22213.4459799,1044.15959245,126219.733449,1.98544975208e+25
