,Time(s),RNA1,Protein1,RNA2,Protein2
0,0.0,0.0,0.0,0.0,0.0
1,64.8648648649,6.48648648649,10.5186267518,0.0324324324324,0.0525931337592
2,129.72972973,12.972972973,42.0745069661,0.0648648648649,0.21037253483
3,194.594594595,19.4594594595,94.667640693,0.0972972972973,0.473338203465
4,259.459459459,25.9459459459,168.298027886,0.12972972973,0.841490139428
5,324.324324324,32.4324324324,262.965668542,0.162162162162,1.31482834271
6,389.189189189,38.9189189189,378.670562662,0.194594594595,1.89335281331
7,454.054054054,45.4054054054,515.412710245,0.227027027027,2.57706355123
8,518.918918919,51.8918918919,673.192111293,0.259459459459,3.36596055646
9,583.783783784,58.3783783784,852.008765803,0.291891891892,4.26004382902
10,648.648648649,64.8648648649,1051.86267378,0.324324324324,5.25931336889
11,713.513513514,71.3513513514,1272.75383522,0.356756756757,6.36376917608
12,778.378378378,77.8378378378,1514.68225018,0.389189189189,7.57341125089
13,843.243243243,84.3243243243,1777.64791869,0.421621621622,8.88823959343
14,908.108108108,90.8108108108,2061.65084066,0.454054054054,10.3082542033
15,972.972972973,97.2972972973,2366.69101611,0.486486486486,11.8334550805
16,1037.83783784,103.783783784,2692.76844502,0.518918918919,13.4638422251
17,1102.7027027,110.27027027,3039.8831274,0.551351351351,15.199415637
18,1167.56756757,116.756756757,3408.03506325,0.583783783784,17.0401753162
19,1232.43243243,123.243243243,3797.22425256,0.616216216216,18.9861212628
20,1297.2972973,129.72972973,4207.45069534,0.648648648649,21.0372534767
21,1362.16216216,136.216216216,4638.71439159,0.681081081081,23.193571958
22,1427.02702703,142.702702703,5091.01534131,0.713513513514,25.4550767066
23,1491.89189189,149.189189189,5564.3535445,0.745945945946,27.8217677225
24,1556.75675676,155.675675676,6058.72900115,0.778378378378,30.2936450057
25,1621.62162162,162.162162162,6574.14171127,0.810810810811,32.8707085563
26,1686.48648649,168.648648649,7110.59167486,0.843243243243,35.5529583743
27,1751.35135135,175.135135135,7668.07889191,0.875675675676,38.3403944596
28,1816.21621622,181.621621622,8246.60336244,0.908108108108,41.2330168122
29,1881.08108108,188.108108108,8846.16508643,0.940540540541,44.2308254321
