,Time(s),RNA,Protein
0,0.0,0.0,0.0
1,64.8648648649,0.648648648649,0.70124178399
2,129.72972973,1.2972972973,2.80496713486
3,194.594594595,1.94594594595,6.31117604998
4,259.459459459,2.59459459459,11.2198685285
5,324.324324324,3.24324324324,17.5310445705
6,389.189189189,3.89189189189,25.2447041822
7,454.054054054,4.54054054054,34.3608473621
8,518.918918919,5.18918918919,44.8794741063
9,583.783783784,5.83783783784,56.8005844148
10,648.648648649,6.48648648649,70.1241782874
11,713.513513514,7.13513513514,84.8502557244
12,778.378378378,7.78378378378,100.978816726
13,843.243243243,8.43243243243,118.509861291
14,908.108108108,9.08108108108,137.443389421
15,972.972972973,9.72972972973,157.779401114
16,1037.83783784,10.3783783784,179.517896373
17,1102.7027027,11.027027027,202.658875195
18,1167.56756757,11.6756756757,227.202337582
19,1232.43243243,12.3243243243,253.148283533
20,1297.2972973,12.972972973,280.496713048
21,1362.16216216,13.6216216216,309.247626127
22,1427.02702703,14.2702702703,339.401022771
23,1491.89189189,14.9189189189,370.956902978
24,1556.75675676,15.5675675676,403.915266751
25,1621.62162162,16.2162162162,438.276114087
26,1686.48648649,16.8648648649,474.039444987
27,1751.35135135,17.5135135135,511.205259452
28,1816.21621622,18.1621621622,549.773557481
29,1881.08108108,18.8108108108,589.744339075
30,1945.94594595,19.4594594595,631.117604232
31,2010.81081081,20.1081081081,673.89335296
32,2075.67567568,20.7567567568,718.071585271
33,2140.54054054,21.4054054054,763.652301147
34,2205.40540541,22.0540540541,810.635500587
35,2270.27027027,22.7027027027,859.021183591
36,2335.13513514,23.3513513514,908.80935016
37,2400.0,24.0,960.000000294
38,2464.86486486,24.6486486486,1012.59313399
39,2529.72972973,25.2972972973,1066.58875125
40,2594.59459459,25.9459459459,1121.98685208
41,2659.45945946,26.5945945946,1178.78743647
42,2724.32432432,27.2432432432,1236.99050443
43,2789.18918919,27.8918918919,1296.59605595
44,2854.05405405,28.5405405405,1357.60409103
45,2918.91891892,29.1891891892,1420.01460968
46,2983.78378378,29.8378378378,1483.8276119
47,3048.64864865,30.4864864865,1549.04309768
48,3113.51351351,31.1351351351,1615.66106702
49,3178.37837838,31.7837837838,1683.68151993
50,3243.24324324,32.4324324324,1753.1044564
51,3308.10810811,33.0810810811,1823.92987644
52,3372.97297297,33.7297297297,1896.15778004
53,3437.83783784,34.3783783784,1969.7881672
54,3502.7027027,35.027027027,2044.82103793
55,3567.56756757,35.6756756757,2121.25639223
56,3632.43243243,36.3243243243,2199.09423009
57,3697.2972973,36.972972973,2278.33455151
58,3762.16216216,37.6216216216,2358.9773565
59,3827.02702703,38.2702702703,2441.02264505
60,3891.89189189,38.9189189189,2524.47041717
61,3956.75675676,39.5675675676,2609.32067285
62,4021.62162162,40.2162162162,2695.5734121
63,4086.48648649,40.8648648649,2783.22863491
64,4151.35135135,41.5135135135,2872.28634128
65,4216.21621622,42.1621621622,2962.74653122
66,4281.08108108,42.8108108108,3054.60920473
67,4345.94594595,43.4594594595,3147.8743618
68,4410.81081081,44.1081081081,3242.54200243
69,4475.67567568,44.7567567568,3338.61212663
70,4540.54054054,45.4054054054,3436.08473439
71,4605.40540541,46.0540540541,3534.95982572
72,4670.27027027,46.7027027027,3635.23740061
73,4735.13513514,47.3513513514,3736.91745906
74,4800.0,48.0,3840.00000108
75,4864.86486486,48.6486486486,3944.48502667
76,4929.72972973,49.2972972973,4050.37253582
77,4994.59459459,49.9459459459,4157.66252853
78,5059.45945946,50.5945945946,4266.35500481
79,5124.32432432,51.2432432432,4376.44996465
80,5189.18918919,51.8918918919,4487.94740806
81,5254.05405405,52.5405405405,4600.84733503
82,5318.91891892,53.1891891892,4715.14974557
83,5383.78378378,53.8378378378,4830.85463967
84,5448.64864865,54.4864864865,4947.96201734
85,5513.51351351,55.1351351351,5066.47187857
86,5578.37837838,55.7837837838,5186.38422336
87,5643.24324324,56.4324324324,5307.69905172
88,5708.10810811,57.0810810811,5430.41636364
89,5772.97297297,57.7297297297,5554.53615913
90,5837.83783784,58.3783783784,5680.05843818
91,5902.7027027,59.027027027,5806.9832008
92,5967.56756757,59.6756756757,5935.31044698
93,6032.43243243,60.3243243243,6065.04017673
94,6097.2972973,60.972972973,6196.17239004
95,6162.16216216,61.6216216216,6328.70708692
96,6227.02702703,62.2702702703,6462.64426736
97,6291.89189189,62.9189189189,6597.98393136
98,6356.75675676,63.5675675676,6734.72607893
99,6421.62162162,64.2162162162,6872.87071006
100,6486.48648649,64.8648648649,7012.41782476
101,6551.35135135,65.5135135135,7153.36742302
102,6616.21621622,66.1621621622,7295.71950485
