,Time(s),RNA1,Protein1,RNA2,Protein2,Vol
0,0.0,0.0,0.0,0.0,0.0,6.80474897864e+32
1,64.8648648649,0.642839908334,1.045573257,0.020814951804,0.0400142985108,6.81702084002e+32
2,129.72972973,1.27420083291,4.15736359533,0.0186719360973,0.110198343294,6.8293148328e+32
3,194.594594595,1.89428776469,9.29847262531,-0.00601906520584,0.136755335452,6.84163099688e+32
4,259.459459459,2.50330202957,16.4326616803,-0.0528554003168,0.0472079324363,6.85396937225e+32
5,324.324324324,3.10144131373,25.5243472836,-0.121441696863,-0.229610781561,6.86632999897e+32
6,389.189189189,3.68889982369,36.5385722198,-0.211389541802,-0.763615254313,6.87871291717e+32
7,454.054054054,4.26586830098,49.4410030077,-0.32231745209,-1.62347246533,6.89111816705e+32
8,518.918918919,4.83253406624,64.1979218944,-0.453850786442,-2.87661791837,6.90354578887e+32
9,583.783783784,5.38908107596,80.7762167813,-0.605621631862,-4.58927579503,6.915995823e+32
10,648.648648649,5.93569000453,99.1433663281,-0.777268639586,-6.8264887671,6.92846830983e+32
11,713.513513514,6.47253831063,119.267427972,-0.968436892255,-9.65214196139,6.94096328988e+32
12,778.378378378,6.99980029312,141.117027892,-1.17877779215,-13.1289830238,6.95348080369e+32
13,843.243243243,7.51764717525,164.661345904,-1.40794889275,-17.3186523249,6.96602089192e+32
14,908.108108108,8.02624704754,189.870125675,-1.65561401302,-22.2816625359,6.97858359526e+32
15,972.972972973,8.52576507133,216.713638181,-1.92144283031,-28.0774717047,6.99116895451e+32
16,1037.83783784,9.01636336516,245.162702062,-2.20511110752,-34.7644425513,7.00377701053e+32
17,1102.7027027,9.49820120525,275.18864761,-2.5063002922,-42.3999144934,7.01640780424e+32
18,1167.56756757,9.97143504741,306.763312776,-2.82469747274,-51.0402116264,7.02906137666e+32
19,1232.43243243,10.4362184834,339.859051047,-3.15999546557,-60.7406269773,7.04173776886e+32
20,1297.2972973,10.8927026444,374.448658812,-3.51189200842,-71.555567767,7.05443702199e+32
21,1362.16216216,11.3410356192,410.505480107,-3.88009092383,-83.5383459241,7.06715917729e+32
22,1427.02702703,11.7813627091,448.003360673,-4.26430160887,-96.7412699645,7.07990427605e+32
23,1491.89189189,12.2138275817,486.916440336,-4.66423672841,-111.21606024,7.09267235966e+32
24,1556.75675676,12.6385701467,527.219535387,-5.07961646337,-127.013084166,7.10546346956e+32
25,1621.62162162,13.0557278735,568.887901309,-5.51016587461,-144.181830775,7.11827764728e+32
26,1686.48648649,13.4654368621,611.897040115,-5.95561276237,-162.771296043,7.13111493443e+32
27,1751.35135135,13.8678298289,656.223062836,-6.41569169363,-182.829257908,7.14397537267e+32
28,1816.21621622,14.2630370516,701.842519498,-6.89014211308,-204.402616317,7.15685900376e+32
29,1881.08108108,14.6511870609,748.732274571,-7.37870695929,-227.53764233,7.16976586952e+32
30,1945.94594595,15.0324059421,796.869632698,-7.88113406166,-252.27972666,7.18269601186e+32
31,2010.81081081,15.4068173533,846.232335443,-8.3971761042,-278.673386182,7.19564947276e+32
32,2075.67567568,15.774542865,896.79850009,-8.92658994563,-306.762386326,7.20862629426e+32
33,2140.54054054,16.1357019086,948.546629004,-9.46913672335,-336.589722362,7.22162651851e+32
34,2205.40540541,16.4904118511,1001.45559611,-10.0245817032,-368.197646443,7.23465018769e+32
35,2270.27027027,16.8387876693,1055.50470559,-10.5926949316,-401.627550201,7.2476973441e+32
36,2335.13513514,17.1809420303,1110.67367737,-11.1732510744,-436.919993789,7.26076803009e+32
37,2400.0,17.5169862556,1166.94247358,-11.7660274888,-474.115052931,7.27386228809e+32
38,2464.86486486,17.8470295381,1224.2914395,-12.3708057886,-513.252037094,7.28698016062e+32
39,2529.72972973,18.1711792343,1282.70125095,-12.9873712611,-554.369594614,7.30012169026e+32
40,2594.59459459,18.4895409258,1342.15290324,-13.615512743,-597.505734876,7.31328691967e+32
41,2659.45945946,18.802218481,1402.62770006,-14.2550224975,-642.697850505,7.32647589161e+32
42,2724.32432432,19.1093102973,1464.10792991,-14.9057037298,-689.981364519,7.33968864888e+32
43,2789.18918919,19.4109172495,1526.57543528,-15.5673546902,-739.392591906,7.35292523437e+32
44,2854.05405405,19.7071380264,1590.0124522,-16.2397780012,-790.967060612,7.36618569107e+32
45,2918.91891892,19.998069199,1654.40159791,-16.9227805208,-844.73953618,7.37947006202e+32
46,2983.78378378,20.2838058058,1719.72576546,-17.6161721721,-900.744232486,7.39277839035e+32
47,3048.64864865,20.5644414114,1785.96811322,-18.3197658258,-959.014832798,7.40611071927e+32
48,3113.51351351,20.8400667617,1853.11230694,-19.0333799902,-1019.58400563,7.41946709206e+32
49,3178.37837838,21.1107663442,1921.14313886,-19.7568456901,-1082.48216645,7.43284755208e+32
50,3243.24324324,21.3766319082,1990.04409411,-20.4899794268,-1147.74234507,7.44625214276e+32
51,3308.10810811,21.6377501186,2059.79957302,-21.2326078709,-1215.3957408,7.45968090764e+32
52,3372.97297297,21.8942062196,2130.39423161,-21.9845605337,-1285.47304159,7.47313389029e+32
53,3437.83783784,22.146084079,2201.8129737,-22.7456696799,-1358.0044398,7.48661113441e+32
54,3502.7027027,22.3934662315,2274.04094301,-23.5157702398,-1433.01964799,7.50011268374e+32
55,3567.56756757,22.6364303245,2347.06416302,-24.2947069185,-1510.54661922,7.51363858212e+32
56,3632.43243243,22.8750543766,2420.86859041,-25.0823236792,-1590.6134401,7.52718887346e+32
57,3697.2972973,23.1094177623,2495.43993776,-25.8784617728,-1673.24868551,7.54076360174e+32
58,3762.16216216,23.3395967282,2570.76448065,-26.6829687057,-1758.47980425,7.55436281104e+32
59,3827.02702703,23.5656662007,2646.82873238,-27.4956946257,-1846.33376976,7.56798654551e+32
60,3891.89189189,23.7876998159,2723.61943839,-28.31649226,-1936.83709112,7.58163484938e+32
61,3956.75675676,24.0057699513,2801.12357078,-29.1452168541,-2030.01582415,7.59530776696e+32
62,4021.62162162,24.2199450723,2879.32880576,-29.981731477,-2125.89461643,7.60900534263e+32
63,4086.48648649,24.4302960336,2958.22238949,-30.8258944193,-2224.49897562,7.62272762087e+32
64,4151.35135135,24.6368911484,3037.79202557,-31.6775690545,-2325.85349455,7.63647464622e+32
65,4216.21621622,24.8397974642,3118.02564549,-32.5366212879,-2429.98231022,7.65024646332e+32
66,4281.08108108,25.0390808363,3198.91139527,-33.4029194085,-2536.90913061,7.66404311686e+32
67,4345.94594595,25.2348059539,3280.43763085,-34.2763340381,-2646.65724382,7.67786465166e+32
68,4410.81081081,25.4270362222,3362.59293932,-35.1567383664,-2759.24947568,7.69171111256e+32
69,4475.67567568,25.6158337729,3445.36613694,-36.0440081298,-2874.70819366,7.70558254454e+32
70,4540.54054054,25.8012600545,3528.746163,-36.9380204314,-2993.05551918,7.71947899262e+32
71,4605.40540541,25.9833752481,3612.72218492,-37.8386549093,-3114.31311741,7.73340050191e+32
72,4670.27027027,26.1622384806,3697.28355982,-38.7457933091,-3238.50227412,7.74734711762e+32
73,4735.13513514,26.3379078499,3782.4198301,-39.6593194354,-3365.64390448,7.76131888501e+32
74,4800.0,26.5104404487,3868.12071908,-40.5791191026,-3495.75856189,7.77531584945e+32
75,4864.86486486,26.6798908451,3954.37640447,-41.5050831746,-3628.86589087,7.78933805639e+32
76,4929.72972973,26.846314233,4041.1769514,-42.4371012637,-3764.98576122,7.80338555134e+32
77,4994.59459459,27.0097650581,4128.51255965,-43.3750644784,-3904.13777337,7.8174583799e+32
78,5059.45945946,27.1702964165,4216.3736719,-44.3188666265,-4046.34104193,7.83155658778e+32
79,5124.32432432,27.3279605149,4304.75089093,-45.2684032945,-4191.61436135,7.84568022072e+32
80,5189.18918919,27.4828086968,4393.63497495,-46.2235717956,-4339.97621522,7.8598293246e+32
81,5254.05405405,27.6348914682,4483.01683285,-47.1842711176,-4491.44478576,7.87400394534e+32
82,5318.91891892,27.7842585241,4572.88751955,-48.1504018707,-4646.03796314,7.88820412895e+32
83,5383.78378378,27.9309587743,4663.23823126,-49.1218662351,-4803.77335491,7.90242992155e+32
84,5448.64864865,28.0750403698,4754.06030084,-50.0985679091,-4964.66829537,7.91668136931e+32
