,Time(s),RNA1,Protein1,RNA2,Protein2,Vol
0,0.0,0.0,0.0,0.0,0.0,5.77556851453e+18
1,64.8648648649,6.42839906741,6.97049028921,-0.0837424057228,-0.0731894672933,5.78598432508e+18
2,129.72972973,12.7420083689,27.7157524671,-0.397064343292,-0.791383927208,5.79641891978e+18
3,194.594594595,18.9428776712,61.9898145134,-0.935866279296,-2.89249942681,5.80687233249e+18
4,259.459459459,25.0330202,109.55108932,-1.69612176215,-7.10129727117,5.81734459716e+18
5,324.324324324,31.01441321,170.162306358,-2.67387628278,-14.1295890657,5.82783574779e+18
6,389.189189189,36.888998546,243.590444316,-3.86524615132,-24.6764388073,5.83834581843e+18
7,454.054054054,42.6586833786,329.606642747,-5.26641702668,-39.4284278531,5.8488748432e+18
8,518.918918919,48.3253409834,427.986108552,-6.87364235755,-59.0599354849,5.85942285629e+18
9,583.783783784,53.8908113465,538.508043396,-8.68324217192,-84.2333566953,5.86998989195e+18
10,648.648648649,59.3569011896,660.955640633,-10.6916030263,-115.59911139,5.88057598447e+18
11,713.513513514,64.7253853058,795.115925094,-12.8951753344,-153.796125088,5.89118116822e+18
12,778.378378378,69.9980060128,940.779818641,-15.2904744609,-199.451632184,5.90180547764e+18
13,843.243243243,75.1764752407,1097.74188966,-17.8740765456,-253.181927513,5.91244894722e+18
14,908.108108108,80.2624737624,1265.80044543,-20.6426200427,-315.592089279,5.9231116115e+18
15,972.972972973,85.2576530326,1444.75731138,-23.592802043,-387.276641158,5.93379350511e+18
16,1037.83783784,90.1636346933,1634.41789048,-26.7213792621,-468.819374299,5.94449466273e+18
17,1102.7027027,94.9820118201,1834.59101364,-30.0251655491,-560.793795895,5.95521511909e+18
18,1167.56756757,99.7143478095,2045.08907331,-33.5010341108,-663.762728651,5.96595490901e+18
19,1232.43243243,104.362179022,2265.72770621,-37.1459122258,-778.279262438,5.97671406733e+18
20,1297.2972973,108.927014939,2496.3257746,-40.9567809321,-904.886810432,5.98749262901e+18
21,1362.16216216,113.410338815,2736.70528789,-44.9306737205,-1044.11934435,5.99829062902e+18
22,1427.02702703,117.813603081,2986.6919545,-49.0646857298,-1196.49973907,6.00910810243e+18
23,1491.89189189,122.138236569,3246.11431449,-53.3559592945,-1362.54237434,6.01994508435e+18
24,1556.75675676,126.385646093,3514.80355019,-57.8016807876,-1542.75370316,6.03080160997e+18
25,1621.62162162,130.557213077,3792.59389061,-62.39908736,-1737.63103847,6.04167771453e+18
26,1686.48648649,134.654290006,4079.32303762,-67.1454740424,-1947.66127468,6.05257343333e+18
27,1751.35135135,138.678201872,4374.83199228,-72.0381908509,-2173.32140866,6.06348880176e+18
28,1816.21621622,142.63026051,4678.9633343,-77.0746141156,-2415.08370124,6.07442385525e+18
29,1881.08108108,146.511751157,4991.56283519,-82.2521733625,-2673.41083781,6.0853786293e+18
