,Time(s),RNA1,Protein1,RNA2,Protein2
0,0.0,0.0,0.0,0.0,0.0
1,64.8648648649,6.48648648649,7.01241783493,3.24324324324,1.75310445873
2,129.72972973,12.972972973,28.049671312,6.48648648649,7.01241782799
3,194.594594595,19.4594594595,63.111760462,9.72972972973,15.7779401155
4,259.459459459,25.9459459459,112.198685259,12.972972973,28.0496713147
5,324.324324324,32.4324324324,175.310445698,16.2162162162,43.8276114245
6,389.189189189,38.9189189189,252.44704178,19.4594594595,63.1117604449
7,454.054054054,45.4054054054,343.608473504,22.7027027027,85.9021183759
8,518.918918919,51.8918918919,448.79474087,25.9459459459,112.198685218
9,583.783783784,58.3783783784,568.005843879,29.1891891892,142.00146097
10,648.648648649,64.8648648649,701.24178253,32.4324324324,175.310445633
11,713.513513514,71.3513513514,848.502556824,35.6756756757,212.125639206
12,778.378378378,77.8378378378,1009.78816676,38.9189189189,252.44704169
13,843.243243243,84.3243243243,1185.09861244,42.1621621622,296.274653109
14,908.108108108,90.8108108108,1374.43389376,45.4054054054,343.60847344
15,972.972972973,97.2972972973,1577.79401073,48.6486486486,394.448502681
16,1037.83783784,103.783783784,1795.17896334,51.8918918919,448.794740834
17,1102.7027027,110.27027027,2026.58875159,55.1351351351,506.647187899
18,1167.56756757,116.756756757,2272.0233755,58.3783783784,568.005843874
19,1232.43243243,123.243243243,2531.48283504,61.6216216216,632.870708761
20,1297.2972973,129.72972973,2804.96713024,64.8648648649,701.241782559
21,1362.16216216,136.216216216,3092.47626107,68.1081081081,773.119065268
22,1427.02702703,142.702702703,3394.01022755,71.3513513514,848.502556889
23,1491.89189189,149.189189189,3709.56902968,74.5945945946,927.392257421
24,1556.75675676,155.675675676,4039.15266746,77.8378378378,1009.78816686
25,1621.62162162,162.162162162,4382.76114087,81.0810810811,1095.69028522
26,1686.48648649,168.648648649,4740.39444994,84.3243243243,1185.09861248
27,1751.35135135,175.135135135,5112.05259464,87.5675675676,1278.01314866
28,1816.21621622,181.621621622,5497.735575,90.8108108108,1374.43389375
29,1881.08108108,188.108108108,5897.44339099,94.0540540541,1474.36084775
30,1945.94594595,194.594594595,6311.17604264,97.2972972973,1577.79401066
31,2010.81081081,201.081081081,6738.93352993,100.540540541,1684.73338248
32,2075.67567568,207.567567568,7180.71585286,103.783783784,1795.17896322
33,2140.54054054,214.054054054,7636.52301144,107.027027027,1909.13075286
34,2205.40540541,220.540540541,8106.35500566,110.27027027,2026.58875142
35,2270.27027027,227.027027027,8590.21183553,113.513513514,2147.55295888
36,2335.13513514,233.513513514,9088.09350105,116.756756757,2272.02337526
37,2400.0,240.0,9600.0000022,120.0,2400.00000055
38,2464.86486486,246.486486486,10125.931339,123.243243243,2531.48283475
39,2529.72972973,252.972972973,10665.8875115,126.486486486,2666.47187786
40,2594.59459459,259.459459459,11219.8685196,129.72972973,2804.96712989
41,2659.45945946,265.945945946,11787.8743633,132.972972973,2946.96859082
42,2724.32432432,272.432432432,12369.9050427,136.216216216,3092.47626067
43,2789.18918919,278.918918919,12965.9605577,139.459459459,3241.49013943
44,2854.05405405,285.405405405,13576.0409084,142.702702703,3394.0102271
45,2918.91891892,291.891891892,14200.1460947,145.945945946,3550.03652368
