,Time(s),RNA1,Protein1,RNA2,Protein2,Vol
0,0.0,0.0,0.0,0.0,0.0,3.49403391854e+19
1,64.8648648649,6.42839906781,6.97049024164,-0.0837424049269,-0.0365948056395,3.50033515023e+19
2,129.72972973,12.7420083755,27.715751705,-0.397064330128,-0.395693114565,3.50664774573e+19
3,194.594594595,18.9428776881,61.989812591,-0.935866245334,-1.44625262569,3.51297172552e+19
4,259.459459459,25.0330202024,109.55108945,-1.69612175738,-3.55064851339,3.51930711014e+19
5,324.324324324,31.0144131622,170.162313449,-2.67387637834,-7.06478402637,3.52565392017e+19
6,389.189189189,36.8889983914,243.590465799,-3.86524646037,-12.3381873493,3.53201217619e+19
7,454.054054054,42.6586830454,329.606687027,-5.26641769295,-19.7141476921,3.53838189886e+19
8,518.918918919,48.3253402839,427.986197072,-6.87364375651,-29.529835144,3.54476310885e+19
9,583.783783784,53.8908097877,538.508233825,-8.68324528937,-42.1163928708,3.55115582688e+19
10,648.648648649,59.3568984556,660.955969058,-10.6916084941,-57.7990632134,3.55756007371e+19
11,713.513513514,64.7253809014,795.116448389,-12.8951841432,-76.8972777449,3.56397587012e+19
12,778.378378378,69.9980001101,940.78051385,-15.2904862663,-99.7247734174,3.57040323695e+19
13,843.243243243,75.1764680274,1097.74273279,-17.8740909722,-126.589699208,3.57684219506e+19
14,908.108108108,80.2624658253,1265.80136579,-20.6426359169,-157.79466425,3.58329276535e+19
15,972.972972973,85.2576448335,1444.75825521,-23.5928184412,-193.636904993,3.58975496876e+19
16,1037.83783784,90.1636266223,1634.41881177,-26.7213954041,-234.408305359,3.59622882629e+19
17,1102.7027027,94.9820039791,1834.59190256,-30.0251812309,-280.395564706,3.60271435893e+19
18,1167.56756757,99.7143410564,2045.08982872,-33.5010476169,-331.880231346,3.60921158776e+19
19,1232.43243243,104.362173642,2265.72829039,-37.1459229867,-389.138755072,3.61572053386e+19
20,1297.2972973,108.927010885,2496.32619114,-40.9567890405,-452.442780485,3.62224121835e+19
21,1362.16216216,113.410335092,2736.7056555,-44.9306811677,-522.059120837,3.62877366243e+19
22,1427.02702703,117.813602528,2986.69193479,-49.0646868362,-598.249899128,3.63531788728e+19
23,1491.89189189,122.138240744,3246.11371328,-53.3559509443,-681.27208896,3.64187391415e+19
24,1556.75675676,126.385652723,3514.80262806,-57.8016675269,-771.378234686,3.64844176434e+19
25,1621.62162162,130.557219416,3792.59297441,-62.3990746815,-868.816893392,3.65502145916e+19
26,1686.48648649,134.65429642,4079.32208646,-67.1454612139,-973.832063889,3.66161301997e+19
27,1751.35135135,138.6782159,4374.83011341,-72.0381627936,-1086.66352237,3.66821646817e+19
28,1816.21621622,142.630277425,4678.96107826,-77.0745802846,-1207.54523433,3.6748318252e+19
29,1881.08108108,146.511766603,4991.5607189,-82.2521424694,-1336.70859295,3.68145911254e+19
30,1945.94594595,150.32394573,5312.47756865,-87.5683247568,-1474.38079823,3.68809835171e+19
31,2010.81081081,154.068054017,5641.56292778,-93.0206487236,-1620.78489979,3.69474956425e+19
32,2075.67567568,157.745308467,5978.67076092,-98.6066803623,-1776.13995066,3.70141277176e+19
33,2140.54054054,161.356894952,6323.65873861,-104.324047935,-1940.65944505,3.70808799587e+19
34,2205.40540541,164.903991002,6676.3855724,-110.170396375,-2114.55531562,3.71477525825e+19
35,2270.27027027,168.387748852,7036.71299508,-116.143421215,-2298.03496319,3.72147458062e+19
36,2335.13513514,171.809300459,7404.50517281,-122.240858541,-2491.30213853,3.72818598472e+19
37,2400.0,175.169756176,7779.6288627,-128.460487648,-2694.55670596,3.73490949234e+19
38,2464.86486486,178.470203621,8161.9535472,-134.800133298,-2907.99444181,3.7416451253e+19
39,2529.72972973,181.711716632,8551.35036663,-141.257647816,-3131.8086356,3.74839290549e+19
40,2594.59459459,184.895347812,8947.69300712,-147.830925998,-3366.18875814,3.7551528548e+19
41,2659.45945946,188.022131145,9350.8573884,-154.517899871,-3611.32092983,3.76192499517e+19
42,2724.32432432,191.093080608,9760.72183545,-161.316541487,-3867.38766319,3.7687093486e+19
43,2789.18918919,194.109192348,10177.1668117,-168.224858547,-4134.56826309,3.77550593711e+19
44,2854.05405405,197.071446506,10600.0746974,-175.240890773,-4413.0391591,3.78231478276e+19
45,2918.91891892,199.980805066,11029.3300534,-182.362714193,-4702.97351016,3.78913590766e+19
46,2983.78378378,202.838213076,11464.8194728,-189.588438714,-5004.54142624,3.79596933396e+19
47,3048.64864865,205.644592907,11906.432275,-196.916219592,-5317.90892868,3.80281508384e+19
48,3113.51351351,208.400856741,12354.0589968,-204.344232464,-5643.24021192,3.80967317952e+19
49,3178.37837838,211.107900524,12807.5921241,-211.870685439,-5980.69654717,3.81654364326e+19
50,3243.24324324,213.766603703,13266.9261232,-219.49381962,-6330.43623516,3.82342649739e+19
51,3308.10810811,216.377830556,13731.9572809,-227.211906456,-6692.61484564,3.83032176422e+19
52,3372.97297297,218.942430571,14202.5836585,-235.023246966,-7067.38528657,3.83722946617e+19
53,3437.83783784,221.461238834,14678.7050458,-242.926170981,-7454.89787328,3.84414962564e+19
54,3502.7027027,223.935070671,15160.2236037,-250.919047847,-7855.2993643,3.85108226511e+19
55,3567.56756757,226.364707595,15647.0455508,-259.000314541,-8268.73043208,3.85802740708e+19
56,3632.43243243,228.750955327,16139.0742004,-267.168359616,-8695.33610629,3.8649850741e+19
57,3697.2972973,231.094590024,16636.2164141,-275.421630762,-9135.25609469,3.87195528876e+19
58,3762.16216216,233.396374722,17138.3806277,-283.758601907,-9588.62774365,3.87893807368e+19
59,3827.02702703,235.657059697,17645.4768081,-292.177772497,-10055.5861027,3.88593345154e+19
60,3891.89189189,237.877382823,18157.4164107,-300.677666787,-10536.2639888,3.89294144505e+19
61,3956.75675676,240.058069928,18674.1123361,-309.256833118,-11030.792051,3.89996207695e+19
62,4021.62162162,242.199805245,19195.4824761,-317.913903024,-11539.2934517,3.90699537005e+19
63,4086.48648649,244.303278874,19721.4440188,-326.647496306,-12061.8924086,3.91404134717e+19
64,4151.35135135,246.369190266,20251.9130301,-335.456214062,-12598.7148229,3.92110003118e+19
65,4216.21621622,248.398212037,20786.8087964,-344.338711062,-13149.8817652,3.92817144502e+19
66,4281.08108108,250.391005424,21326.0519688,-353.293664828,-13715.5122586,3.93525561162e+19
67,4345.94594595,252.348220588,21869.5645281,-362.31977504,-14295.7233321,3.942352554e+19
68,4410.81081081,254.270496909,22417.2697484,-371.415762939,-14890.6300743,3.94946229518e+19
69,4475.67567568,256.158463282,22969.0921622,-380.580370733,-15500.3456865,3.95658485826e+19
70,4540.54054054,258.012689431,23524.9634043,-389.812458975,-16124.9727168,3.96372026635e+19
71,4605.40540541,259.833805684,24084.8078342,-399.110767011,-16764.6246256,3.97086854262e+19
72,4670.27027027,261.622404511,24648.5543553,-408.474109898,-17419.408058,3.97802971028e+19
73,4735.13513514,263.379067738,25216.1331484,-417.901323984,-18089.4277427,3.98520379258e+19
74,4800.0,265.104367155,25787.4755985,-427.39126569,-18774.7866023,3.9923908128e+19
75,4864.86486486,266.79886476,26362.5142658,-436.942811021,-19475.5857963,3.99959079429e+19
76,4929.72972973,268.463112993,26941.1828571,-446.554855095,-20191.9247648,4.0068037604e+19
77,4994.59459459,270.097645423,27523.4173448,-456.226330777,-20923.8995489,4.01402973457e+19
78,5059.45945946,271.70298004,28109.1555707,-465.956202081,-21671.6033861,4.02126874025e+19
79,5124.32432432,273.279649976,28698.3335583,-475.74340275,-22435.1322411,4.02852080093e+19
80,5189.18918919,274.828167395,29290.8898479,-485.586908454,-23214.5783035,4.03578594018e+19
81,5254.05405405,276.34903551,29886.7640536,-495.485712764,-24010.0321519,4.04306418156e+19
82,5318.91891892,277.842748794,30485.8968388,-505.438826736,-24821.5827915,4.05035554872e+19
83,5383.78378378,279.309793182,31088.2298912,-515.4452785,-25649.3176905,4.05766006531e+19
84,5448.64864865,280.750646279,31693.7058983,-525.504112847,-26493.322818,4.06497775506e+19
85,5513.51351351,282.165764734,32302.2700623,-535.614416477,-27353.6803704,4.07230864173e+19
86,5578.37837838,283.555610875,32913.8669039,-545.775264736,-28230.4735667,4.0796527491e+19
87,5643.24324324,284.920639019,33528.4419051,-555.98574899,-29123.784184,4.08701010103e+19
88,5708.10810811,286.261292704,34145.941841,-566.244982159,-30033.6920596,4.0943807214e+19
89,5772.97297297,287.578007809,34766.3144066,-576.55209249,-30960.2756509,4.10176463414e+19
90,5837.83783784,288.871212732,35389.508194,-586.906223185,-31903.6120699,4.10916186321e+19
91,5902.7027027,290.141328581,36015.4726702,-597.306532027,-32863.7771159,4.11657243265e+19
92,5967.56756757,291.388767025,36644.1584352,-607.75219568,-33840.8448892,4.12399636649e+19
93,6032.43243243,292.613920253,37275.5184256,-618.242429765,-34834.8859846,4.13143368886e+19
94,6097.2972973,293.817195516,37909.5037718,-628.776419779,-35845.9737068,4.13888442388e+19
95,6162.16216216,294.998983955,38546.0675369,-639.353383442,-36874.1784609,4.14634859575e+19
96,6227.02702703,296.159669987,39185.1635908,-649.972551918,-37919.5694422,4.15382622871e+19
97,6291.89189189,297.299631474,39826.7465902,-660.633169484,-38982.2146655,4.16131734702e+19
98,6356.75675676,298.419239885,40470.7719588,-671.334493202,-40062.1809953,4.16882197501e+19
99,6421.62162162,299.518860464,41117.1958675,-682.075792586,-41159.5341753,4.17634013704e+19
100,6486.48648649,300.598833238,41765.9775127,-692.856387578,-42274.335411,4.18387185752e+19
