,Time(s),RNA1,Protein1,RNA2,Protein2,Vol
0,0.0,0.0,0.0,0.0,0.0,14538870426.4
1,64.8648648649,6.42839906503,10.4557358545,0.208149481408,0.20007478773,14565090203.6
2,129.72972973,12.7420083337,41.5736349783,0.186719370003,0.550990708984,14591357266.3
3,194.594594595,18.942877573,92.9847387785,-0.0601907998732,0.683789171287,14617671699.7
4,259.459459459,25.0330200372,164.326662341,-0.528554520139,0.236085268136,14644033589.2
5,324.324324324,31.0144129182,255.243511562,-1.21441740675,-1.14801510517,14670443020.5
6,389.189189189,36.8889980697,365.385752562,-2.11389575256,-3.81804583353,14696900079.2
7,454.054054054,42.6586826987,494.410087382,-3.22317514317,-8.11730487651,14723404851.2
8,518.918918919,48.3253399767,641.979344807,-4.53850923575,-14.3829634501,14749957422.7
9,583.783783784,53.890809607,807.762377915,-6.0562186238,-22.946168477,14776557879.7
10,648.648648649,59.3568983387,991.43397026,-7.7726898091,-34.1321364093,14803206308.7
11,713.513513514,64.7253809684,1192.67465869,-9.68437319836,-48.260330389,14829902796.2
12,778.378378378,69.9979999194,1411.17080228,-11.787783945,-65.6443913667,14856647428.8
13,843.243243243,75.1764675279,1646.61418176,-14.0794973766,-86.5925385847,14883440293.4
14,908.108108108,80.2624648484,1898.70220627,-16.5561513843,-111.407362899,14910281476.9
15,972.972972973,85.2576431045,2167.13765633,-19.2144435208,-140.386083808,14937171066.5
16,1037.83783784,90.1636244707,2451.62854405,-22.051129437,-173.820689172,14964109149.5
17,1102.7027027,94.9820013081,2751.88824601,-25.0630244107,-211.99780242,14991095813.3
18,1167.56756757,99.714338321,3067.63512185,-28.2469990337,-255.199063922,15018131145.6
19,1232.43243243,104.362171678,3398.59266042,-31.5999809692,-303.700984807,15045215234.1
20,1297.2972973,108.927010374,3744.48924618,-35.1189522255,-357.775180637,15072348166.8
21,1362.16216216,113.410336316,4105.05813584,-38.8009489892,-417.688394684,15099530031.7
22,1427.02702703,117.813604954,4480.037347,-42.6430603631,-483.70260935,15126760917.1
23,1491.89189189,122.138245829,4869.16955939,-46.6424272602,-556.07514491,15154040911.3
24,1556.75675676,126.385663045,5272.20203008,-50.7962414786,-635.058744323,15181370103.0
25,1621.62162162,130.557233917,5688.88685973,-55.1017483821,-720.901306828,15208748580.9
26,1686.48648649,134.654310801,6118.98064761,-59.5562432637,-813.846233076,15236176433.9
27,1751.35135135,138.678224523,6562.24383337,-64.1570644683,-914.133083465,15263653750.9
28,1816.21621622,142.630281464,7018.44126822,-68.901599234,-1021.99700678,15291180621.2
29,1881.08108108,146.511765184,7487.34190753,-73.7872804433,-1137.66904766,15318757134.2
30,1945.94594595,150.323936981,7968.71870851,-78.8115854972,-1261.37624896,15346383379.5
31,2010.81081081,154.06803646,8462.34852789,-83.9720351886,-1393.34175403,15374059446.5
32,2075.67567568,157.74528209,8968.01201959,-89.2661925762,-1533.78490904,15401785425.4
33,2140.54054054,161.356871047,9485.49366872,-94.6916633117,-1682.92122901,15429561406.0
34,2205.40540541,164.903928061,10014.5913816,-100.246197933,-1840.95280596,15457387478.5
