,Time(s),RNA1,Protein1,RNA2,Protein2
0,0.0,0.0,0.0,0.0,0.0
1,64.8648648649,0.648648648649,2.10372535129,0.324324324324,0.262965668911
2,129.72972973,1.2972972973,8.41490140138,0.648648648649,1.05186267517
3,194.594594595,1.94594594595,18.9335281418,0.972972972973,2.36669101772
4,259.459459459,2.59459459459,33.6596055725,1.2972972973,4.20745069656
5,324.324324324,3.24324324324,52.5931337167,1.62162162162,6.57414171458
6,389.189189189,3.89189189189,75.7341125544,1.94594594595,9.4667640693
7,454.054054054,4.54054054054,103.082542085,2.27027027027,12.8853177606
8,518.918918919,5.18918918919,134.638422308,2.59459459459,16.8298027885
9,583.783783784,5.83783783784,170.401753224,2.91891891892,21.300219153
10,648.648648649,6.48648648649,210.372534833,3.24324324324,26.2965668541
11,713.513513514,7.13513513514,254.550767134,3.56756756757,31.8188458917
12,778.378378378,7.78378378378,302.936450128,3.89189189189,37.867056266
13,843.243243243,8.43243243243,355.529583815,4.21621621622,44.4411979769
14,908.108108108,9.08108108108,412.330168194,4.54054054054,51.5412710243
15,972.972972973,9.72972972973,473.338203267,4.86486486486,59.1672754083
16,1037.83783784,10.3783783784,538.553689032,5.18918918919,67.319211129
17,1102.7027027,11.027027027,607.976625489,5.51351351351,75.9970781862
18,1167.56756757,11.6756756757,681.60701264,5.83783783784,85.20087658
19,1232.43243243,12.3243243243,759.444850483,6.16216216216,94.9306063104
20,1297.2972973,12.972972973,841.490139019,6.48648648649,105.186267377
21,1362.16216216,13.6216216216,927.742878248,6.81081081081,115.967859781
22,1427.02702703,14.2702702703,1018.20306817,7.13513513514,127.275383521
23,1491.89189189,14.9189189189,1112.87070879,7.45945945946,139.108838598
24,1556.75675676,15.5675675676,1211.74580015,7.78378378378,151.468225019
25,1621.62162162,16.2162162162,1314.8283422,8.10810810811,164.353542776
26,1686.48648649,16.8648648649,1422.11833495,8.43243243243,177.764791869
27,1751.35135135,17.5135135135,1533.6157784,8.75675675676,191.7019723
28,1816.21621622,18.1621621622,1649.32067253,9.08108108108,206.165084067
29,1881.08108108,18.8108108108,1769.23301736,9.40540540541,221.154127171
30,1945.94594595,19.4594594595,1893.35281289,9.72972972973,236.669101611
31,2010.81081081,20.1081081081,2021.68005911,10.0540540541,252.710007388
32,2075.67567568,20.7567567568,2154.21475602,10.3783783784,269.276844502
33,2140.54054054,21.4054054054,2290.95690362,10.7027027027,286.369612953
34,2205.40540541,22.0540540541,2431.90650192,11.027027027,303.98831274
35,2270.27027027,22.7027027027,2577.06355091,11.3513513514,322.132943864
36,2335.13513514,23.3513513514,2726.4280506,11.6756756757,340.803506324
37,2400.0,24.0,2880.00000097,12.0,360.000000122
38,2464.86486486,24.6486486486,3037.77940205,12.3243243243,379.722425256
39,2529.72972973,25.2972972973,3199.76625381,12.6486486486,399.970781726
40,2594.59459459,25.9459459459,3365.96055627,12.972972973,420.745069534
41,2659.45945946,26.5945945946,3536.36230942,13.2972972973,442.045288678
42,2724.32432432,27.2432432432,3710.97151327,13.6216216216,463.871439159
43,2789.18918919,27.8918918919,3889.78816781,13.9459459459,486.223520976
44,2854.05405405,28.5405405405,4072.81227304,14.2702702703,509.10153413
45,2918.91891892,29.1891891892,4260.04382897,14.5945945946,532.505478621
46,2983.78378378,29.8378378378,4451.48283559,14.9189189189,556.435354449
47,3048.64864865,30.4864864865,4647.1292929,15.2432432432,580.891161613
48,3113.51351351,31.1351351351,4846.98320091,15.5675675676,605.872900114
49,3178.37837838,31.7837837838,5051.04455961,15.8918918919,631.380569952
50,3243.24324324,32.4324324324,5259.31336901,16.2162162162,657.414171126
51,3308.10810811,33.0810810811,5471.7896291,16.5405405405,683.973703637
52,3372.97297297,33.7297297297,5688.47333988,16.8648648649,711.059167485
53,3437.83783784,34.3783783784,5909.36450135,17.1891891892,738.670562669
54,3502.7027027,35.027027027,6134.46311352,17.5135135135,766.80788919
55,3567.56756757,35.6756756757,6363.76917638,17.8378378378,795.471147048
56,3632.43243243,36.3243243243,6597.28268994,18.1621621622,824.660336242
57,3697.2972973,36.972972973,6835.00365419,18.4864864865,854.375456773
58,3762.16216216,37.6216216216,7076.93206913,18.8108108108,884.616508641
59,3827.02702703,38.2702702703,7323.06793477,19.1351351351,915.383491846
60,3891.89189189,38.9189189189,7573.4112511,19.4594594595,946.676406387
61,3956.75675676,39.5675675676,7827.96201812,19.7837837838,978.495252265
62,4021.62162162,40.2162162162,8086.72023584,20.1081081081,1010.84002948
63,4086.48648649,40.8648648649,8349.68590425,20.4324324324,1043.71073803
64,4151.35135135,41.5135135135,8616.85902335,20.7567567568,1077.10737792
65,4216.21621622,42.1621621622,8888.23959315,21.0810810811,1111.02994914
66,4281.08108108,42.8108108108,9163.82761364,21.4054054054,1145.4784517
67,4345.94594595,43.4594594595,9443.62308482,21.7297297297,1180.4528856
68,4410.81081081,44.1081081081,9727.6260067,22.0540540541,1215.95325084
69,4475.67567568,44.7567567568,10015.8363793,22.3783783784,1251.97954741
70,4540.54054054,45.4054054054,10308.2542025,22.7027027027,1288.53177532
71,4605.40540541,46.0540540541,10604.8794765,23.027027027,1325.60993456
72,4670.27027027,46.7027027027,10905.7122012,23.3513513514,1363.21402514
73,4735.13513514,47.3513513514,11210.7523765,23.6756756757,1401.34404706
74,4800.0,48.0,11520.0000025,24.0,1440.00000032
75,4864.86486486,48.6486486486,11833.4550793,24.3243243243,1479.18188491
76,4929.72972973,49.2972972973,12151.1176067,24.6486486486,1518.88970084
77,4994.59459459,49.9459459459,12472.9875848,24.972972973,1559.1234481
78,5059.45945946,50.5945945946,12799.0650136,25.2972972973,1599.8831267
79,5124.32432432,51.2432432432,13129.3498931,25.6216216216,1641.16873664
80,5189.18918919,51.8918918919,13463.8422233,25.9459459459,1682.98027792
81,5254.05405405,52.5405405405,13802.5420042,26.2702702703,1725.31775053
82,5318.91891892,53.1891891892,14145.4492358,26.5945945946,1768.18115448
83,5383.78378378,53.8378378378,14492.5639181,26.9189189189,1811.57048976
84,5448.64864865,54.4864864865,14843.8860511,27.2432432432,1855.48575638
85,5513.51351351,55.1351351351,15199.4156347,27.5675675676,1899.92695434
86,5578.37837838,55.7837837838,15559.1526691,27.8918918919,1944.89408364
87,5643.24324324,56.4324324324,15923.0971542,28.2162162162,1990.38714427
88,5708.10810811,57.0810810811,16291.2490899,28.5405405405,2036.40613624
89,5772.97297297,57.7297297297,16663.6084764,28.8648648649,2082.95105954
90,5837.83783784,58.3783783784,17040.1753135,29.1891891892,2130.02191419
91,5902.7027027,59.027027027,17420.9496013,29.5135135135,2177.61870016
92,5967.56756757,59.6756756757,17805.9313398,29.8378378378,2225.74141748
93,6032.43243243,60.3243243243,18195.1205291,30.1621621622,2274.39006613
94,6097.2972973,60.972972973,18588.517169,30.4864864865,2323.56464612
95,6162.16216216,61.6216216216,18986.1212596,30.8108108108,2373.26515745
96,6227.02702703,62.2702702703,19387.9328009,31.1351351351,2423.49160011
97,6291.89189189,62.9189189189,19793.9517929,31.4594594595,2474.24397411
98,6356.75675676,63.5675675676,20204.1782355,31.7837837838,2525.52227944
99,6421.62162162,64.2162162162,20618.6121289,32.1081081081,2577.32651611
100,6486.48648649,64.8648648649,21037.253473,32.4324324324,2629.65668412
101,6551.35135135,65.5135135135,21460.1022678,32.7567567568,2682.51278347
102,6616.21621622,66.1621621622,21887.1585132,33.0810810811,2735.89481415
103,6681.08108108,66.8108108108,22318.4222094,33.4054054054,2789.80277617
104,6745.94594595,67.4594594595,22753.8933562,33.7297297297,2844.23666953
105,6810.81081081,68.1081081081,23193.5719537,34.0540540541,2899.19649422
106,6875.67567568,68.7567567568,23637.458002,34.3783783784,2954.68225025
107,6940.54054054,69.4054054054,24085.5515009,34.7027027027,3010.69393761
108,7005.40540541,70.0540540541,24537.8524505,35.027027027,3067.23155632
109,7070.27027027,70.7027027027,24994.3608508,35.3513513514,3124.29510635
110,7135.13513514,71.3513513514,25455.0767018,35.6756756757,3181.88458773
111,7200.0,72.0,25920.0000035,36.0,3240.00000044
112,7264.86486486,72.6486486486,26389.1307559,36.3243243243,3298.64134449
113,7329.72972973,73.2972972973,26862.468959,36.6486486486,3357.80861988
114,7394.59459459,73.9459459459,27340.0146128,36.972972973,3417.5018266
115,7459.45945946,74.5945945946,27821.7677173,37.2972972973,3477.72096466
116,7524.32432432,75.2432432432,28307.7282725,37.6216216216,3538.46603406
117,7589.18918919,75.8918918919,28797.8962783,37.9459459459,3599.73703479
118,7654.05405405,76.5405405405,29292.2717349,38.2702702703,3661.53396686
119,7718.91891892,77.1891891892,29790.8546421,38.5945945946,3723.85683026
120,7783.78378378,77.8378378378,30293.6450001,38.9189189189,3786.70562501
121,7848.64864865,78.4864864865,30800.6428087,39.2432432432,3850.08035109
