,Time(s),RNA,Protein
0,0.0,0.0,0.0
1,64.8648648649,6.48648648649,7.01241783275
2,129.72972973,12.972972973,28.0496713147
3,194.594594595,19.4594594595,63.1117604599
4,259.459459459,25.9459459459,112.198685247
5,324.324324324,32.4324324324,175.310445678
6,389.189189189,38.9189189189,252.44704175
7,454.054054054,45.4054054054,343.608473465
8,518.918918919,51.8918918919,448.794740822
9,583.783783784,58.3783783784,568.005843822
10,648.648648649,64.8648648649,701.241782486
11,713.513513514,71.3513513514,848.502556851
12,778.378378378,77.8378378378,1009.78816686
13,843.243243243,84.3243243243,1185.09861252
14,908.108108108,90.8108108108,1374.43389382
15,972.972972973,97.2972972973,1577.79401076
16,1037.83783784,103.783783784,1795.17896335
17,1102.7027027,110.27027027,2026.58875159
18,1167.56756757,116.756756757,2272.02337547
19,1232.43243243,123.243243243,2531.48283499
20,1297.2972973,129.72972973,2804.96713016
21,1362.16216216,136.216216216,3092.47626098
22,1427.02702703,142.702702703,3394.01022744
23,1491.89189189,149.189189189,3709.56902955
24,1556.75675676,155.675675676,4039.1526673
25,1621.62162162,162.162162162,4382.7611407
26,1686.48648649,168.648648649,4740.39444974
27,1751.35135135,175.135135135,5112.05259442
28,1816.21621622,181.621621622,5497.73557476
29,1881.08108108,188.108108108,5897.44339073
30,1945.94594595,194.594594595,6311.17604235
31,2010.81081081,201.081081081,6738.93352962
32,2075.67567568,207.567567568,7180.71585253
33,2140.54054054,214.054054054,7636.52301109
34,2205.40540541,220.540540541,8106.35500529
35,2270.27027027,227.027027027,8590.21183514
36,2335.13513514,233.513513514,9088.09350063
37,2400.0,240.0,9600.00000177
38,2464.86486486,246.486486486,10125.9313386
39,2529.72972973,252.972972973,10665.887511
40,2594.59459459,259.459459459,11219.8685191
41,2659.45945946,265.945945946,11787.8743628
42,2724.32432432,272.432432432,12369.9050421
43,2789.18918919,278.918918919,12965.9605571
44,2854.05405405,285.405405405,13576.0409078
45,2918.91891892,291.891891892,14200.1460941
46,2983.78378378,298.378378378,14838.276116
47,3048.64864865,304.864864865,15490.4309736
48,3113.51351351,311.351351351,16156.6106669
49,3178.37837838,317.837837838,16836.8151957
50,3243.24324324,324.324324324,17531.0445603
51,3308.10810811,330.810810811,18239.2987604
52,3372.97297297,337.297297297,18961.5777963
53,3437.83783784,343.783783784,19697.8816677
54,3502.7027027,350.27027027,20448.2103748
55,3567.56756757,356.756756757,21212.5639176
56,3632.43243243,363.243243243,21990.942296
57,3697.2972973,369.72972973,22783.34551
58,3762.16216216,376.216216216,23589.7735597
59,3827.02702703,382.702702703,24410.226445
60,3891.89189189,389.189189189,25244.704166
61,3956.75675676,395.675675676,26093.2067226
62,4021.62162162,402.162162162,26955.7341149
63,4086.48648649,408.648648649,27832.2863428
64,4151.35135135,415.135135135,28722.8634063
65,4216.21621622,421.621621622,29627.4653055
66,4281.08108108,428.108108108,30546.0920404
67,4345.94594595,434.594594595,31478.7436109
68,4410.81081081,441.081081081,32425.420017
69,4475.67567568,447.567567568,33386.1212591
70,4540.54054054,454.054054054,34360.8473367
71,4605.40540541,460.540540541,35349.59825
72,4670.27027027,467.027027027,36352.373999
73,4735.13513514,473.513513514,37369.1745836
74,4800.0,480.0,38400.0000038
75,4864.86486486,486.486486486,39444.8502597
76,4929.72972973,492.972972973,40503.7253512
77,4994.59459459,499.459459459,41576.6252784
78,5059.45945946,505.945945946,42663.5500412
79,5124.32432432,512.432432432,43764.4996397
80,5189.18918919,518.918918919,44879.4740738
81,5254.05405405,525.405405405,46008.4733436
82,5318.91891892,531.891891892,47151.497449
83,5383.78378378,538.378378378,48308.5463901
84,5448.64864865,544.864864865,49479.6201668
85,5513.51351351,551.351351351,50664.7187791
86,5578.37837838,557.837837838,51863.8422271
87,5643.24324324,564.324324324,53076.9905108
88,5708.10810811,570.810810811,54304.16363
89,5772.97297297,577.297297297,55545.361585
90,5837.83783784,583.783783784,56800.5843756
91,5902.7027027,590.27027027,58069.8320018
92,5967.56756757,596.756756757,59353.1044637
93,6032.43243243,603.243243243,60650.4017612
94,6097.2972973,609.72972973,61961.7238943
95,6162.16216216,616.216216216,63287.0708631
96,6227.02702703,622.702702703,64626.4426676
97,6291.89189189,629.189189189,65979.8393077
98,6356.75675676,635.675675676,67347.2607835
99,6421.62162162,642.162162162,68728.7070948
100,6486.48648649,648.648648649,70124.1782419
101,6551.35135135,655.135135135,71533.6742246
102,6616.21621622,661.621621622,72957.1950429
103,6681.08108108,668.108108108,74394.7406969
104,6745.94594595,674.594594595,75846.3111865
105,6810.81081081,681.081081081,77311.9065118
106,6875.67567568,687.567567568,78791.5266727
107,6940.54054054,694.054054054,80285.1716693
108,7005.40540541,700.540540541,81792.8415015
109,7070.27027027,707.027027027,83314.5361693
110,7135.13513514,713.513513514,84850.2556728
111,7200.0,720.0,86400.000012
112,7264.86486486,726.486486486,87963.7691868
113,7329.72972973,732.972972973,89541.5631972
114,7394.59459459,739.459459459,91133.3820433
115,7459.45945946,745.945945946,92739.225725
116,7524.32432432,752.432432432,94359.0942424
117,7589.18918919,758.918918919,95992.9875954
118,7654.05405405,765.405405405,97640.9057841
119,7718.91891892,771.891891892,99302.8488084
120,7783.78378378,778.378378378,100978.816668
121,7848.64864865,784.864864865,102668.809364
122,7913.51351351,791.351351351,104372.826895
123,7978.37837838,797.837837838,106090.869262
124,8043.24324324,804.324324324,107822.936465
125,8108.10810811,810.810810811,109569.028503
126,8172.97297297,817.297297297,111329.145377
127,8237.83783784,823.783783784,113103.287086
128,8302.7027027,830.27027027,114891.453631
129,8367.56756757,836.756756757,116693.645012
130,8432.43243243,843.243243243,118509.861228
131,8497.2972973,849.72972973,120340.102281
132,8562.16216216,856.216216216,122184.368168
133,8627.02702703,862.702702703,124042.658892
134,8691.89189189,869.189189189,125914.974451
135,8756.75675676,875.675675676,127801.314845
136,8821.62162162,882.162162162,129701.680076
137,8886.48648649,888.648648649,131616.070141
138,8951.35135135,895.135135135,133544.485043
