,Time(s),RNA1,Protein1,RNA2,Protein2,Vol
0,0.0,0.0,0.0,0.0,0.0,7.1273423709e+14
1,64.8648648649,6.42839903779,6.97049387593,3.12706834586,2.5667707621,7.1401960056e+14
2,129.72972973,12.7420079642,27.7158007506,6.02455646896,10.0178209212,7.15307282088e+14
3,194.594594595,18.9428756292,61.9900565793,8.69656206921,21.9843544085,7.16597285854e+14
4,259.459459459,25.0330168974,109.551471278,11.147114876,38.1036860983,7.17889616047e+14
5,324.324324324,31.0144096644,170.162710454,13.3801706802,58.0198144027,7.19184276862e+14
6,389.189189189,36.8889961129,243.590715561,15.3996138475,81.3831515012,7.20481272501e+14
7,454.054054054,42.6586825325,329.606726095,17.209256957,107.850556636,7.21780607176e+14
8,518.918918919,48.3253440389,427.985746015,18.8128502399,137.08453575,7.23082285105e+14
9,583.783783784,53.8908168063,538.507438687,20.214066045,168.754583889,7.24386310513e+14
10,648.648648649,59.3569092832,660.954775677,21.4165212691,202.535158402,7.25692687635e+14
11,713.513513514,64.7253942811,795.115013294,22.4237615353,238.107143754,7.27001420712e+14
12,778.378378378,69.9980153827,940.778909417,23.2392740087,275.156676762,7.28312513992e+14
13,843.243243243,75.1764847621,1097.74100153,23.8664830377,313.375563647,7.29625971732e+14
14,908.108108108,80.2624833956,1265.79956896,24.3087505749,352.461223418,7.30941798196e+14
15,972.972972973,85.2576632372,1444.75638261,24.5693805285,392.116312408,7.32259997656e+14
16,1037.83783784,90.1636461245,1634.4168274,24.6516165732,432.048908011,7.3358057439e+14
17,1102.7027027,94.9820261812,1834.58961678,24.558646957,471.972080391,7.34903532688e+14
18,1167.56756757,99.714366,2045.08725289,24.2935968648,511.60458277,7.36228876842e+14
19,1232.43243243,104.36220342,2265.72519982,23.8595419758,550.669611276,7.37556611157e+14
20,1297.2972973,108.927048113,2496.32230047,23.2595016316,588.89543025,7.38886739942e+14
21,1362.16216216,113.410378192,2736.70119054,22.4964320606,626.015993265,7.40219267517e+14
22,1427.02702703,117.813652044,2986.68685478,21.5732500333,661.768777421,7.41554198206e+14
23,1491.89189189,122.138298231,3246.10785701,20.4928126787,695.896628469,7.42891536344e+14
24,1556.75675676,126.385718204,3514.79601003,19.2579228945,728.14726559,7.44231286272e+14
25,1621.62162162,130.557293251,3792.58555428,17.8713432583,758.272049466,7.4557345234e+14
26,1686.48648649,134.654376621,4079.31407721,16.3357802688,786.027361243,7.46918038906e+14
27,1751.35135135,138.678298608,4374.82192297,14.6538945128,811.17371718,7.48265050333e+14
28,1816.21621622,142.630365498,4678.9523516,12.828298564,833.476007311,7.49614490996e+14
29,1881.08108108,146.511861161,4991.5512856,10.8615601599,852.703115403,7.50966365276e+14
30,1945.94594595,150.324045876,5312.46749045,8.75619986042,868.628189648,7.52320677561e+14
31,2010.81081081,154.068154826,5641.55273996,6.51468803003,881.028890807,7.53677432247e+14
32,2075.67567568,157.745405129,5978.6609957,4.13945890721,889.686161196,7.55036633741e+14
33,2140.54054054,161.356991626,6323.64889834,1.6329021714,894.384961826,7.56398286454e+14
34,2205.40540541,164.904088626,6676.37556344,-1.00263355969,894.913966057,7.57762394806e+14
35,2270.27027027,168.387845887,7036.70299933,-3.76484876752,891.066186352,7.59128963228e+14
36,2335.13513514,171.809389199,7404.49603913,-6.65149187203,882.638872425,7.60497996154e+14
37,2400.0,175.169834385,7779.62085553,-9.66033123098,869.431283287,7.6186949803e+14
38,2464.86486486,178.470274179,8161.94633934,-12.7891813709,851.246755178,7.63243473308e+14
39,2529.72972973,181.711782761,8551.34361508,-16.0358939379,827.891974844,7.64619926448e+14
40,2594.59459459,184.895408121,8947.68688784,-19.3983729475,799.178249946,7.65998861921e+14
41,2659.45945946,188.022179873,9350.85256927,-22.8745591736,764.920197945,7.67380284201e+14
42,2724.32432432,191.093118488,9760.71824362,-26.4624116733,724.934195234,7.68764197774e+14
43,2789.18918919,194.109222441,10177.1640981,-30.1599334972,679.040522681,7.70150607133e+14
44,2854.05405405,197.07147299,10600.0723863,-33.9651621278,627.062560527,7.71539516779e+14
45,2918.91891892,199.980826933,11029.3282796,-37.8761839727,568.828065918,7.7293093122e+14
46,2983.78378378,202.838227903,11464.8185367,-41.8911117609,504.16717691,7.74324854975e+14
47,3048.64864865,205.644606359,11906.4315048,-46.0080845787,432.912414223,7.75721292568e+14
48,3113.51351351,208.40087396,12354.0577795,-50.2252791063,354.899671501,7.77120248533e+14
49,3178.37837838,211.107926322,12807.5898805,-54.5409041124,269.967728048,7.78521727411e+14
50,3243.24324324,213.766639228,13266.9227259,-58.9532080309,177.958960968,7.79925733753e+14
51,3308.10810811,216.377876314,13731.9526737,-63.4604635875,78.7179075426,7.81332272116e+14
52,3372.97297297,218.942485998,14202.5779081,-68.0609739508,-27.9081561668,7.82741347068e+14
53,3437.83783784,221.461300995,14678.6984999,-72.7530736851,-142.069123753,7.84152963182e+14
54,3502.7027027,223.935139306,15160.2162865,-77.5351267932,-263.912239332,7.85567125041e+14
55,3567.56756757,226.364802147,15647.0351287,-82.4055308415,-393.581711586,7.86983837236e+14
56,3632.43243243,228.751079103,16139.0602732,-87.3627066583,-531.219670584,7.88403104367e+14
57,3697.2972973,231.094745138,16636.198725,-92.4051043196,-676.96560864,7.89824931041e+14
58,3762.16216216,233.396561455,17138.3591415,-97.5312014136,-830.956539761,7.91249321875e+14
59,3827.02702703,235.657275764,17645.4518003,-102.739502526,-993.327047485,7.92676281492e+14
60,3891.89189189,237.877619313,18157.3889414,-108.028545157,-1164.20877204,7.94105814525e+14
61,3956.75675676,240.058314652,18674.0838664,-113.39688421,-1343.73176059,7.95537925615e+14
62,4021.62162162,242.200070123,19195.4515764,-118.843102998,-1532.02351202,7.96972619412e+14
63,4086.48648649,244.303581661,19721.4085613,-124.36580965,-1729.20929099,7.98409900573e+14
64,4151.35135135,246.369532411,20251.8728454,-129.963637881,-1935.4120614,7.99849773763e+14
65,4216.21621622,248.398590141,20786.7642881,-135.63525215,-2150.75203384,8.01292243659e+14
66,4281.08108108,250.391415647,21326.0035998,-141.379330868,-2375.34814307,8.02737314943e+14
67,4345.94594595,252.34865629,21869.513097,-147.194579312,-2609.31691398,8.04184992305e+14
68,4410.81081081,254.270948066,22417.2164603,-153.07972549,-2852.77282595,8.05635280447e+14
69,4475.67567568,256.158914838,22969.0388262,-159.033521676,-3105.82817417,8.07088184076e+14
70,4540.54054054,258.01316745,23524.9068937,-165.054746182,-3368.59291007,8.08543707909e+14
71,4605.40540541,259.834309456,24084.7482351,-171.142191898,-3641.17567514,8.10001856672e+14
72,4670.27027027,261.622932349,24648.4918705,-177.294675843,-3923.68293934,8.11462635098e+14
73,4735.13513514,263.379617193,25216.0680706,-183.511035885,-4216.21929657,8.1292604793e+14
74,4800.0,265.104932858,25787.408574,-189.790134283,-4518.88713895,8.14392099919e+14
75,4864.86486486,266.799437292,26362.446432,-196.130855146,-4831.78688957,8.15860795824e+14
76,4929.72972973,268.463682385,26941.115413,-202.53209469,-5155.01789585,8.17332140414e+14
77,4994.59459459,270.098208693,27523.3506494,-208.992771803,-5488.67745905,8.18806138465e+14
78,5059.45945946,271.70354739,28109.0883994,-215.511824139,-5832.86119206,8.20282794762e+14
79,5124.32432432,273.280220495,28698.2660188,-222.088207659,-6187.66306094,8.21762114099e+14
80,5189.18918919,274.828741106,29290.8219338,-228.720896166,-6553.17542648,8.2324410128e+14
81,5254.05405405,276.349612861,29886.6957065,-235.408882387,-6929.48894578,8.24728761115e+14
82,5318.91891892,277.843315522,30485.829785,-242.151206794,-7316.68994635,8.26216098424e+14
83,5383.78378378,279.31034362,31088.1648119,-248.946880328,-7714.86746436,8.27706118036e+14
84,5448.64864865,280.751174146,31693.6435476,-255.794949005,-8124.10735944,8.29198824788e+14
85,5513.51351351,282.166275968,32302.2097268,-262.694475092,-8544.49402921,8.30694223526e+14
86,5578.37837838,283.556110041,32913.8080335,-269.644536675,-8976.11044789,8.32192319105e+14
87,5643.24324324,284.921129625,33528.3840748,-276.644227236,-9419.03820488,8.33693116389e+14
88,5708.10810811,286.2617805,34145.884355,-283.692655217,-9873.35754341,8.35196620249e+14
89,5772.97297297,287.578484196,34766.2583008,-290.788977554,-10339.1443238,8.36702835568e+14
90,5837.83783784,288.871668528,35389.4545743,-297.93233862,-10816.4755527,8.38211767235e+14
91,5902.7027027,290.141760364,36015.4219463,-305.121884678,-11305.428074,8.39723420148e+14
92,5967.56756757,291.389173087,36644.1108102,-312.35678896,-11806.0762976,8.41237799215e+14
93,6032.43243243,292.61431306,37275.4724021,-319.636238744,-12318.493369,8.42754909353e+14
94,6097.2972973,293.817579799,37909.4587797,-326.959434996,-12842.7512022,8.44274755487e+14
95,6162.16216216,294.999366157,38546.0227998,-334.32559201,-13378.9205118,8.45797342551e+14
