,Time(s),RNA1,Protein1,RNA2,Protein2
0,0.0,0.0,0.0,0.0,0.0
1,64.8648648649,0.0648648648649,0.0701241783583,3.24324324324,1.75310445896
2,129.72972973,0.12972972973,0.280496713434,6.48648648649,7.01241783586
3,194.594594595,0.194594594595,0.631117604855,9.72972972973,15.7779401214
4,259.459459459,0.259459459459,1.12198685262,12.972972973,28.0496713155
5,324.324324324,0.324324324324,1.75310445704,16.2162162162,43.827611426
6,389.189189189,0.389189189189,2.52447041844,19.4594594595,63.111760461
7,454.054054054,0.454054054054,3.43608473626,22.7027027027,85.9021184065
8,518.918918919,0.518918918919,4.48794741051,25.9459459459,112.198685263
9,583.783783784,0.583783783784,5.68005844118,29.1891891892,142.001461029
10,648.648648649,0.648648648649,7.01241782827,32.4324324324,175.310445707
11,713.513513514,0.713513513514,8.48502557179,35.6756756757,212.125639295
12,778.378378378,0.778378378378,10.0978816717,38.9189189189,252.447041793
13,843.243243243,0.843243243243,11.8509861281,42.1621621622,296.274653202
14,908.108108108,0.908108108108,13.7443389409,45.4054054054,343.608473522
15,972.972972973,0.972972972973,15.7779401101,48.6486486486,394.448502753
16,1037.83783784,1.03783783784,17.9517896357,51.8918918919,448.794740894
17,1102.7027027,1.1027027027,20.2658875178,55.1351351351,506.647187945
18,1167.56756757,1.16756756757,22.7202337563,58.3783783784,568.005843908
19,1232.43243243,1.23243243243,25.3148283512,61.6216216216,632.87070878
20,1297.2972973,1.2972972973,28.0496713026,64.8648648649,701.241782564
21,1362.16216216,1.36216216216,30.9247626103,68.1081081081,773.119065258
22,1427.02702703,1.42702702703,33.9401022745,71.3513513514,848.502556863
23,1491.89189189,1.49189189189,37.0956902951,74.5945945946,927.392257378
24,1556.75675676,1.55675675676,40.3915266721,77.8378378378,1009.7881668
25,1621.62162162,1.62162162162,43.8276114056,81.0810810811,1095.69028514
26,1686.48648649,1.68648648649,47.4039444955,84.3243243243,1185.09861239
27,1751.35135135,1.75135135135,51.120525943,87.5675675676,1278.01314858
28,1816.21621622,1.81621621622,54.9773557479,90.8108108108,1374.4338937
29,1881.08108108,1.88108108108,58.9744339092,94.0540540541,1474.36084773
30,1945.94594595,1.94594594595,63.111760427,97.2972972973,1577.79401068
31,2010.81081081,2.01081081081,67.3893353013,100.540540541,1684.73338253
32,2075.67567568,2.07567567568,71.8071585319,103.783783784,1795.1789633
33,2140.54054054,2.14054054054,76.3652301191,107.027027027,1909.13075298
34,2205.40540541,2.20540540541,81.0635500627,110.27027027,2026.58875157
35,2270.27027027,2.27027027027,85.9021183627,113.513513514,2147.55295907
36,2335.13513514,2.33513513514,90.8809350192,116.756756757,2272.02337548
37,2400.0,2.4,96.0000000322,120.0,2400.0000008
38,2464.86486486,2.46486486486,101.259313402,123.243243243,2531.48283504
39,2529.72972973,2.52972972973,106.658875127,126.486486486,2666.47187819
40,2594.59459459,2.59459459459,112.19868521,129.72972973,2804.96713024
41,2659.45945946,2.65945945946,117.878743648,132.972972973,2946.96859121
42,2724.32432432,2.72432432432,123.699050444,136.216216216,3092.47626109
43,2789.18918919,2.78918918919,129.659605595,139.459459459,3241.49013988
44,2854.05405405,2.85405405405,135.760409103,142.702702703,3394.01022759
45,2918.91891892,2.91891891892,142.001460968,145.945945946,3550.0365242
46,2983.78378378,2.98378378378,148.382761189,149.189189189,3709.56902972
47,3048.64864865,3.04864864865,154.904309766,152.432432432,3872.60774416
48,3113.51351351,3.11351351351,161.5661067,155.675675676,4039.15266751
49,3178.37837838,3.17837837838,168.368151991,158.918918919,4209.20379977
50,3243.24324324,3.24324324324,175.310445637,162.162162162,4382.76114094
51,3308.10810811,3.30810810811,182.392987641,165.405405405,4559.82469102
52,3372.97297297,3.37297297297,189.615778,168.648648649,4740.39445001
53,3437.83783784,3.43783783784,196.978816717,171.891891892,4924.47041792
54,3502.7027027,3.5027027027,204.482103789,175.135135135,5112.05259473
55,3567.56756757,3.56756756757,212.125639218,178.378378378,5303.14098046
56,3632.43243243,3.63243243243,219.909423004,181.621621622,5497.7355751
57,3697.2972973,3.6972972973,227.833455146,184.864864865,5695.83637865
58,3762.16216216,3.76216216216,235.897735644,188.108108108,5897.44339111
59,3827.02702703,3.82702702703,244.102264499,191.351351351,6102.55661248
60,3891.89189189,3.89189189189,252.44704171,194.594594595,6311.17604276
61,3956.75675676,3.95675675676,260.932067278,197.837837838,6523.30168195
62,4021.62162162,4.02162162162,269.557341202,201.081081081,6738.93353006
63,4086.48648649,4.08648648649,278.322863483,204.324324324,6958.07158708
64,4151.35135135,4.15135135135,287.22863412,207.567567568,7180.71585301
65,4216.21621622,4.21621621622,296.274653114,210.810810811,7406.86632784
66,4281.08108108,4.28108108108,305.460920464,214.054054054,7636.5230116
67,4345.94594595,4.34594594595,314.78743617,217.297297297,7869.68590426
68,4410.81081081,4.41081081081,324.254200233,220.540540541,8106.35500583
69,4475.67567568,4.47567567568,333.861212653,223.783783784,8346.53031632
70,4540.54054054,4.54054054054,343.608473428,227.027027027,8590.21183571
71,4605.40540541,4.60540540541,353.495982561,230.27027027,8837.39956402
72,4670.27027027,4.67027027027,363.523740049,233.513513514,9088.09350124
73,4735.13513514,4.73513513514,373.691745895,236.756756757,9342.29364737
74,4800.0,4.8,384.000000096,240.0,9600.00000241
75,4864.86486486,4.86486486486,394.448502654,243.243243243,9861.21256636
76,4929.72972973,4.92972972973,405.037253569,246.486486486,10125.9313392
77,4994.59459459,4.99459459459,415.76625284,249.72972973,10394.156321
78,5059.45945946,5.05945945946,426.635500467,252.972972973,10665.8875117
79,5124.32432432,5.12432432432,437.644996451,256.216216216,10941.1249113
80,5189.18918919,5.18918918919,448.794740792,259.459459459,11219.8685198
81,5254.05405405,5.25405405405,460.084733488,262.702702703,11502.1183372
82,5318.91891892,5.31891891892,471.514974542,265.945945946,11787.8743635
83,5383.78378378,5.38378378378,483.085463951,269.189189189,12077.1365988
84,5448.64864865,5.44864864865,494.796201717,272.432432432,12369.9050429
85,5513.51351351,5.51351351351,506.64718784,275.675675676,12666.179696
86,5578.37837838,5.57837837838,518.638422319,278.918918919,12965.960558
87,5643.24324324,5.64324324324,530.769905155,282.162162162,13269.2476289
88,5708.10810811,5.70810810811,543.041636347,285.405405405,13576.0409087
89,5772.97297297,5.77297297297,555.453615895,288.648648649,13886.3403974
90,5837.83783784,5.83783783784,568.0058438,291.891891892,14200.146095
91,5902.7027027,5.9027027027,580.698320061,295.135135135,14517.4580015
92,5967.56756757,5.96756756757,593.531044679,298.378378378,14838.276117
93,6032.43243243,6.03243243243,606.504017653,301.621621622,15162.6004413
94,6097.2972973,6.0972972973,619.617238984,304.864864865,15490.4309746
95,6162.16216216,6.16216216216,632.870708671,308.108108108,15821.7677168
96,6227.02702703,6.22702702703,646.264426714,311.351351351,16156.6106679
97,6291.89189189,6.29189189189,659.798393114,314.594594595,16494.9598279
98,6356.75675676,6.35675675676,673.472607871,317.837837838,16836.8151968
99,6421.62162162,6.42162162162,687.287070984,321.081081081,17182.1767746
100,6486.48648649,6.48648648649,701.241782453,324.324324324,17531.0445613
101,6551.35135135,6.55135135135,715.336742279,327.567567568,17883.418557
102,6616.21621622,6.61621621622,729.571950461,330.810810811,18239.2987615
103,6681.08108108,6.68108108108,743.947407,334.054054054,18598.685175
104,6745.94594595,6.74594594595,758.463111895,337.297297297,18961.5777974
105,6810.81081081,6.81081081081,773.119065147,340.540540541,19327.9766287
106,6875.67567568,6.87567567568,787.915266755,343.783783784,19697.8816689
107,6940.54054054,6.94054054054,802.851716719,347.027027027,20071.292918
108,7005.40540541,7.00540540541,817.92841504,350.27027027,20448.210376
109,7070.27027027,7.07027027027,833.145361718,353.513513514,20828.6340429
110,7135.13513514,7.13513513514,848.502556752,356.756756757,21212.5639188
111,7200.0,7.2,864.000000142,360.0,21600.0000036
112,7264.86486486,7.26486486486,879.637691889,363.243243243,21990.9422972
113,7329.72972973,7.32972972973,895.415631992,366.486486486,22385.3907998
114,7394.59459459,7.39459459459,911.333820452,369.72972973,22783.3455113
115,7459.45945946,7.45945945946,927.392257268,372.972972973,23184.8064317
116,7524.32432432,7.52432432432,943.59094244,376.216216216,23589.773561
117,7589.18918919,7.58918918919,959.92987597,379.459459459,23998.2468992
118,7654.05405405,7.65405405405,976.409057855,382.702702703,24410.2264464
119,7718.91891892,7.71891891892,993.028488097,385.945945946,24825.7122024
120,7783.78378378,7.78378378378,1009.7881667,389.189189189,25244.7041674
121,7848.64864865,7.84864864865,1026.68809365,392.432432432,25667.2023413
122,7913.51351351,7.91351351351,1043.72826896,395.675675676,26093.206724
123,7978.37837838,7.97837837838,1060.90869263,398.918918919,26522.7173157
124,8043.24324324,8.04324324324,1078.22936465,402.162162162,26955.7341163
125,8108.10810811,8.10810810811,1095.69028503,405.405405405,27392.2571259
126,8172.97297297,8.17297297297,1113.29145377,408.648648649,27832.2863443
127,8237.83783784,8.23783783784,1131.03287086,411.891891892,28275.8217716
128,8302.7027027,8.3027027027,1148.91453631,415.135135135,28722.8634079
129,8367.56756757,8.36756756757,1166.93645012,418.378378378,29173.411253
130,8432.43243243,8.43243243243,1185.09861228,421.621621622,29627.4653071
131,8497.2972973,8.4972972973,1203.4010228,424.864864865,30085.0255701
132,8562.16216216,8.56216216216,1221.84368168,428.108108108,30546.092042
133,8627.02702703,8.62702702703,1240.42658891,431.351351351,31010.6647228
134,8691.89189189,8.69189189189,1259.1497445,434.594594595,31478.7436125
135,8756.75675676,8.75675675676,1278.01314845,437.837837838,31950.3287111
136,8821.62162162,8.82162162162,1297.01680075,441.081081081,32425.4200187
137,8886.48648649,8.88648648649,1316.16070141,444.324324324,32904.0175351
138,8951.35135135,8.95135135135,1335.44485042,447.567567568,33386.1212605
139,9016.21621622,9.01621621622,1354.86924779,450.810810811,33871.7311948
140,9081.08108108,9.08108108108,1374.43389352,454.054054054,34360.8473379
141,9145.94594595,9.14594594595,1394.1387876,457.297297297,34853.46969
142,9210.81081081,9.21081081081,1413.98393004,460.540540541,35349.5982511
143,9275.67567568,9.27567567568,1433.96932084,463.783783784,35849.233021
144,9340.54054054,9.34054054054,1454.09495999,467.027027027,36352.3739998
145,9405.40540541,9.40540540541,1474.3608475,470.27027027,36859.0211875
146,9470.27027027,9.47027027027,1494.76698337,473.513513514,37369.1745842
147,9535.13513514,9.53513513514,1515.31336759,476.756756757,37882.8341898
148,9600.0,9.6,1536.00000017,480.0,38400.0000042
149,9664.86486486,9.66486486486,1556.8268811,483.243243243,38920.6720276
150,9729.72972973,9.72972972973,1577.7940104,486.486486486,39444.8502599
151,9794.59459459,9.79459459459,1598.90138805,489.72972973,39972.5347011
152,9859.45945946,9.85945945946,1620.14901405,492.972972973,40503.7253513
153,9924.32432432,9.92432432432,1641.53688841,496.216216216,41038.4222103
154,9989.18918919,9.98918918919,1663.06501113,499.459459459,41576.6252782
155,10054.0540541,10.0540540541,1684.7333822,502.702702703,42118.3345551
156,10118.9189189,10.1189189189,1706.54200163,505.945945946,42663.5500408
157,10183.7837838,10.1837837838,1728.49086942,509.189189189,43212.2717355
158,10248.6486486,10.2486486486,1750.57998556,512.432432432,43764.4996391
159,10313.5135135,10.3135135135,1772.80935006,515.675675676,44320.2337516
160,10378.3783784,10.3783783784,1795.17896292,518.918918919,44879.474073
161,10443.2432432,10.4432432432,1817.68882413,522.162162162,45442.2206033
162,10508.1081081,10.5081081081,1840.3389337,525.405405405,46008.4733426
163,10572.972973,10.572972973,1863.12929163,528.648648649,46578.2322907
164,10637.8378378,10.6378378378,1886.05989791,531.891891892,47151.4974478
165,10702.7027027,10.7027027027,1909.13075255,535.135135135,47728.2688137
166,10767.5675676,10.7675675676,1932.34185555,538.378378378,48308.5463886
167,10832.4324324,10.8324324324,1955.6932069,541.621621622,48892.3301724
168,10897.2972973,10.8972972973,1979.1848066,544.864864865,49479.6201651
169,10962.1621622,10.9621621622,2002.81665467,548.108108108,50070.4163667
170,11027.027027,11.027027027,2026.58875109,551.351351351,50664.7187773
171,11091.8918919,11.0918918919,2050.50109587,554.594594595,51262.5273967
172,11156.7567568,11.1567567568,2074.553689,557.837837838,51863.842225
173,11221.6216216,11.2216216216,2098.74653049,561.081081081,52468.6632623
174,11286.4864865,11.2864864865,2123.07962034,564.324324324,53076.9905085
175,11351.3513514,11.3513513514,2147.55295854,567.567567568,53688.8239635
176,11416.2162162,11.4162162162,2172.1665451,570.810810811,54304.1636275
177,11481.0810811,11.4810810811,2196.92038002,574.054054054,54923.0095004
178,11545.9459459,11.5459459459,2221.81446329,577.297297297,55545.3615822
179,11610.8108108,11.6108108108,2246.84879492,580.540540541,56171.219873
180,11675.6756757,11.6756756757,2272.0233749,583.783783784,56800.5843726
181,11740.5405405,11.7405405405,2297.33820325,587.027027027,57433.4550812
182,11805.4054054,11.8054054054,2322.79327994,590.27027027,58069.8319986
183,11870.2702703,11.8702702703,2348.388605,593.513513514,58709.715125
184,11935.1351351,11.9351351351,2374.12417841,596.756756757,59353.1044603
185,12000.0,12.0,2400.00000018,600.0,60000.0000045
186,12064.8648649,12.0648648649,2426.01607031,603.243243243,60650.4017578
187,12129.7297297,12.1297297297,2452.1723888,606.486486486,61304.3097199
188,12194.5945946,12.1945945946,2478.46895564,609.72972973,61961.723891
189,12259.4594595,12.2594594595,2504.90577084,612.972972973,62622.644271
190,12324.3243243,12.3243243243,2531.4828344,616.216216216,63287.0708599
191,12389.1891892,12.3891891892,2558.20014631,619.459459459,63955.0036577
192,12454.0540541,12.4540540541,2585.05770658,622.702702703,64626.4426645
193,12518.9189189,12.5189189189,2612.0555152,625.945945946,65301.3878801
194,12583.7837838,12.5837837838,2639.19357219,629.189189189,65979.8393047
195,12648.6486486,12.6486486486,2666.47187753,632.432432432,66661.7969381
196,12713.5135135,12.7135135135,2693.89043122,635.675675676,67347.2607805
197,12778.3783784,12.7783783784,2721.44923327,638.918918919,68036.2308318
198,12843.2432432,12.8432432432,2749.14828368,642.162162162,68728.707092
199,12908.1081081,12.9081081081,2776.98758244,645.405405405,69424.6895611
200,12972.972973,12.972972973,2804.96712957,648.648648649,70124.1782391
201,13037.8378378,13.0378378378,2833.08692504,651.891891892,70827.1731261
202,13102.7027027,13.1027027027,2861.34696888,655.135135135,71533.6742219
203,13167.5675676,13.1675675676,2889.74726107,658.378378378,72243.6815267
204,13232.4324324,13.2324324324,2918.28780161,661.621621622,72957.1950403
205,13297.2972973,13.2972972973,2946.96859052,664.864864865,73674.2147629
206,13362.1621622,13.3621621622,2975.78962778,668.108108108,74394.7406944
207,13427.027027,13.427027027,3004.75091339,671.351351351,75118.7728348
208,13491.8918919,13.4918918919,3033.85244737,674.594594595,75846.3111841
209,13556.7567568,13.5567567568,3063.09422969,677.837837838,76577.3557424
210,13621.6216216,13.6216216216,3092.47626038,681.081081081,77311.9065095
211,13686.4864865,13.6864864865,3121.99853942,684.324324324,78049.9634855
212,13751.3513514,13.7513513514,3151.66106682,687.567567568,78791.5266705
213,13816.2162162,13.8162162162,3181.46384257,690.810810811,79536.5960644
214,13881.0810811,13.8810810811,3211.40686669,694.054054054,80285.1716672
215,13945.9459459,13.9459459459,3241.49013915,697.297297297,81037.2534789
216,14010.8108108,14.0108108108,3271.71365998,700.540540541,81792.8414995
217,14075.6756757,14.0756756757,3302.07742916,703.783783784,82551.935729
218,14140.5405405,14.1405405405,3332.5814467,707.027027027,83314.5361674
219,14205.4054054,14.2054054054,3363.22571259,710.27027027,84080.6428147
220,14270.2702703,14.2702702703,3394.01022684,713.513513514,84850.255671
221,14335.1351351,14.3351351351,3424.93498945,716.756756757,85623.3747362
222,14400.0,14.4,3456.00000041,720.0,86400.0000102
223,14464.8648649,14.4648648649,3487.20525973,723.243243243,87180.1314932
224,14529.7297297,14.5297297297,3518.5507674,726.486486486,87963.7691851
225,14594.5945946,14.5945945946,3550.03652344,729.72972973,88750.9130859
226,14659.4594595,14.6594594595,3581.66252783,732.972972973,89541.5631957
227,14724.3243243,14.7243243243,3613.42878057,736.216216216,90335.7195143
228,14789.1891892,14.7891891892,3645.33528167,739.459459459,91133.3820418
229,14854.0540541,14.8540540541,3677.38203113,742.702702703,91934.5507783
230,14918.9189189,14.9189189189,3709.56902895,745.945945946,92739.2257237
231,14983.7837838,14.9837837838,3741.89627512,749.189189189,93547.4068779
232,15048.6486486,15.0486486486,3774.36376965,752.432432432,94359.0942411
233,15113.5135135,15.1135135135,3806.97151253,755.675675676,95174.2878132
234,15178.3783784,15.1783783784,3839.71950377,758.918918919,95992.9875942
235,15243.2432432,15.2432432432,3872.60774337,762.162162162,96815.1935842
236,15308.1081081,15.3081081081,3905.63623132,765.405405405,97640.905783
237,15372.972973,15.372972973,3938.80496763,768.648648649,98470.1241908
238,15437.8378378,15.4378378378,3972.1139523,771.891891892,99302.8488074
239,15502.7027027,15.5027027027,4005.56318532,775.135135135,100139.079633
240,15567.5675676,15.5675675676,4039.1526667,778.378378378,100978.816667
241,15632.4324324,15.6324324324,4072.88239643,781.621621622,101822.059911
242,15697.2972973,15.6972972973,4106.75237453,784.864864865,102668.809363
243,15762.1621622,15.7621621622,4140.76260098,788.108108108,103519.065024
244,15827.027027,15.827027027,4174.91307578,791.351351351,104372.826895
245,15891.8918919,15.8918918919,4209.20379894,794.594594595,105230.094974
246,15956.7567568,15.9567567568,4243.63477046,797.837837838,106090.869262
247,16021.6216216,16.0216216216,4278.20599033,801.081081081,106955.149758
248,16086.4864865,16.0864864865,4312.91745857,804.324324324,107822.936464
249,16151.3513514,16.1513513514,4347.76917515,807.567567568,108694.229379
250,16216.2162162,16.2162162162,4382.7611401,810.810810811,109569.028502
251,16281.0810811,16.2810810811,4417.8933534,814.054054054,110447.333835
252,16345.9459459,16.3459459459,4453.16581505,817.297297297,111329.145376
253,16410.8108108,16.4108108108,4488.57852507,820.540540541,112214.463127
254,16475.6756757,16.4756756757,4524.13148344,823.783783784,113103.287086
255,16540.5405405,16.5405405405,4559.82469016,827.027027027,113995.617254
256,16605.4054054,16.6054054054,4595.65814525,830.27027027,114891.453631
257,16670.2702703,16.6702702703,4631.63184869,833.513513514,115790.796217
