,Time(s),RNA1,Protein1,RNA2,Protein2
0,0.0,0.0,0.0,0.0,0.0
1,64.8648648649,0.648648648649,1.05186267547,3.24324324324,5.25931337733
2,129.72972973,1.2972972973,4.20745069769,6.48648648649,21.0372534884
3,194.594594595,1.94594594595,9.4667640689,9.72972972973,47.3338203445
4,259.459459459,2.59459459459,16.8298027897,12.972972973,84.1490139484
5,324.324324324,3.24324324324,26.2965668568,16.2162162162,131.482834284
6,389.189189189,3.89189189189,37.8670562703,19.4594594595,189.335281352
7,454.054054054,4.54054054054,51.5412710302,22.7027027027,257.706355151
8,518.918918919,5.18918918919,67.3192111364,25.9459459459,336.596055682
9,583.783783784,5.83783783784,85.200876589,29.1891891892,426.004382945
10,648.648648649,6.48648648649,105.186267388,32.4324324324,525.93133694
11,713.513513514,7.13513513514,127.275383533,35.6756756757,636.376917667
12,778.378378378,7.78378378378,151.468225025,38.9189189189,757.341125125
13,843.243243243,8.43243243243,177.764791863,42.1621621622,888.823959316
14,908.108108108,9.08108108108,206.165084048,45.4054054054,1030.82542024
15,972.972972973,9.72972972973,236.669101594,48.6486486486,1183.34550797
16,1037.83783784,10.3783783784,269.276844489,51.8918918919,1346.38422244
17,1102.7027027,11.027027027,303.98831273,55.1351351351,1519.94156365
18,1167.56756757,11.6756756757,340.803506318,58.3783783784,1704.01753159
19,1232.43243243,12.3243243243,379.722425253,61.6216216216,1898.61212627
20,1297.2972973,12.972972973,420.745069535,64.8648648649,2103.72534768
21,1362.16216216,13.6216216216,463.871439164,68.1081081081,2319.35719582
22,1427.02702703,14.2702702703,509.101534139,71.3513513514,2545.5076707
23,1491.89189189,14.9189189189,556.435354461,74.5945945946,2782.17677231
24,1556.75675676,15.5675675676,605.87290013,77.8378378378,3029.36450065
25,1621.62162162,16.2162162162,657.414171146,81.0810810811,3287.07085573
26,1686.48648649,16.8648648649,711.059167508,84.3243243243,3555.29583754
27,1751.35135135,17.5135135135,766.807889217,87.5675675676,3834.03944609
28,1816.21621622,18.1621621622,824.660336273,90.8108108108,4123.30168136
29,1881.08108108,18.8108108108,884.616508676,94.0540540541,4423.08254338
30,1945.94594595,19.4594594595,946.676406425,97.2972972973,4733.38203213
31,2010.81081081,20.1081081081,1010.84002952,100.540540541,5054.20014761
32,2075.67567568,20.7567567568,1077.10737796,103.783783784,5385.53688982
33,2140.54054054,21.4054054054,1145.47845175,107.027027027,5727.39225877
34,2205.40540541,22.0540540541,1215.95325089,110.27027027,6079.76625445
35,2270.27027027,22.7027027027,1288.53177537,113.513513514,6442.65887687
36,2335.13513514,23.3513513514,1363.2140252,116.756756757,6816.07012602
37,2400.0,24.0,1440.00000038,120.0,7200.0000019
38,2464.86486486,24.6486486486,1518.8897009,123.243243243,7594.44850452
39,2529.72972973,25.2972972973,1599.88312677,126.486486486,7999.41563387
40,2594.59459459,25.9459459459,1682.98027799,129.72972973,8414.90138996
41,2659.45945946,26.5945945946,1768.18115456,132.972972973,8840.90577278
42,2724.32432432,27.2432432432,1855.48575647,136.216216216,9277.42878233
43,2789.18918919,27.8918918919,1944.89408372,139.459459459,9724.47041862
44,2854.05405405,28.5405405405,2036.40613633,142.702702703,10182.0306816
45,2918.91891892,29.1891891892,2130.02191428,145.945945946,10650.1095714
46,2983.78378378,29.8378378378,2225.74141758,149.189189189,11128.7070879
47,3048.64864865,30.4864864865,2323.56464622,152.432432432,11617.8232311
48,3113.51351351,31.1351351351,2423.49160021,155.675675676,12117.4580011
49,3178.37837838,31.7837837838,2525.52227955,158.918918919,12627.6113978
50,3243.24324324,32.4324324324,2629.65668424,162.162162162,13148.2834212
51,3308.10810811,33.0810810811,2735.89481427,165.405405405,13679.4740713
52,3372.97297297,33.7297297297,2844.23666965,168.648648649,14221.1833482
53,3437.83783784,34.3783783784,2954.68225037,171.891891892,14773.4112519
54,3502.7027027,35.027027027,3067.23155644,175.135135135,15336.1577822
55,3567.56756757,35.6756756757,3181.88458786,178.378378378,15909.4229393
56,3632.43243243,36.3243243243,3298.64134463,181.621621622,16493.2067231
57,3697.2972973,36.972972973,3417.50182674,184.864864865,17087.5091337
58,3762.16216216,37.6216216216,3538.4660342,188.108108108,17692.330171
59,3827.02702703,38.2702702703,3661.533967,191.351351351,18307.669835
60,3891.89189189,38.9189189189,3786.70562516,194.594594595,18933.5281258
61,3956.75675676,39.5675675676,3913.98100865,197.837837838,19569.9050433
62,4021.62162162,40.2162162162,4043.3601175,201.081081081,20216.8005875
63,4086.48648649,40.8648648649,4174.84295169,204.324324324,20874.2147585
64,4151.35135135,41.5135135135,4308.42951123,207.567567568,21542.1475562
65,4216.21621622,42.1621621622,4444.11979612,210.810810811,22220.5989806
66,4281.08108108,42.8108108108,4581.91380635,214.054054054,22909.5690318
67,4345.94594595,43.4594594595,4721.81154193,217.297297297,23609.0577097
68,4410.81081081,44.1081081081,4863.81300286,220.540540541,24319.0650143
69,4475.67567568,44.7567567568,5007.91818913,223.783783784,25039.5909457
70,4540.54054054,45.4054054054,5154.12710075,227.027027027,25770.6355038
71,4605.40540541,46.0540540541,5302.43973772,230.27027027,26512.1986886
72,4670.27027027,46.7027027027,5452.85610003,233.513513514,27264.2805002
73,4735.13513514,47.3513513514,5605.37618769,236.756756757,28026.8809385
74,4800.0,48.0,5760.0000007,240.0,28800.0000035
75,4864.86486486,48.6486486486,5916.72753905,243.243243243,29583.6376953
76,4929.72972973,49.2972972973,6075.55880276,246.486486486,30377.7940138
77,4994.59459459,49.9459459459,6236.4937918,249.72972973,31182.468959
78,5059.45945946,50.5945945946,6399.5325062,252.972972973,31997.662531
79,5124.32432432,51.2432432432,6564.67494594,256.216216216,32823.3747297
80,5189.18918919,51.8918918919,6731.92111103,259.459459459,33659.6055551
81,5254.05405405,52.5405405405,6901.27100146,262.702702703,34506.3550073
82,5318.91891892,53.1891891892,7072.72461724,265.945945946,35363.6230862
83,5383.78378378,53.8378378378,7246.28195837,269.189189189,36231.4097918
84,5448.64864865,54.4864864865,7421.94302484,272.432432432,37109.7151242
85,5513.51351351,55.1351351351,7599.70781667,275.675675676,37998.5390833
86,5578.37837838,55.7837837838,7779.57633383,278.918918919,38897.8816692
87,5643.24324324,56.4324324324,7961.54857635,282.162162162,39807.7428818
88,5708.10810811,57.0810810811,8145.62454421,285.405405405,40728.1227211
